States;2010;2011;2012;2013;2014;2015;2016;2017;2018
Alabama;500485;513847;529194;529798;531816;542689;550,214;555,404;565,653
Alaska;95161;99302;101263;105476;106140;110327;114,205;106,986;110,772
Arizona;731226;744032;751034;751038;779091;795472;807,939;845,756;877,123
Arkansas;318391;332265;333157;335170;336964;341615;339,816;346,59;360,773
California;4413891;4548755;4646641;4767196;4947133;5078189;5,193,801;5,390,200;5,424,352
Colorado;645761;670770;680531;702581;719944;761849;766,818;804,127;826,968
Connecticut;377322;387729;398666;403175;401999;408304;407,069;408,392;417,303
Delaware;94517;97339;100741;104594;107520;109417;114,481;120,208;114,014
Florida;1952799;2026778;2091829;2140416;2235197;2326010;2,380,063;2,446,928;2,500,489
Georgia;1112702;1131924;1147777;1161118;1191096;1209458;1,233,324;1,259,940;1,297,265
Hawaii;171319;181621;188102;194906;198497;206271;196,21;197,164;191,194
Idaho;187879;185668;191107;188281;192135;195842;201,118;204,294;210,47
Illinois;1573198;1596278;1609995;1607472;1617154;1621054;1,626,673;1,630,904;1,646,296
Indiana;724636;727051;736500;733119;753528;745968;763,161;781,009;788,636
Iowa;351960;358834;362972;361321;363292;365952;365,596;365,871;370,97
Kansas;334595;340810;343815;349025;350757;346055;344,31;351,293;349,114
Kentucky;495763;498745;502200;499981;503196;508192;508,07;527,981;525,311
Louisiana;525414;538196;545138;560255;568400;583410;575,726;574,164;571,794
Maine;134785;134598;138419;142036;142409;141424;148,982;150,514;151,89
Maryland;676041;702002;723401;735698;743805;755441;762,848;763,965;766,007
Massachusetts;776948;795069;822376;848581;859952;881127;883,574;910,639;932,245
Michigan;1045160;1054442;1052919;1070051;1092521;1114078;1,141,809;1,167,148;1,194,201
Minnesota;666992;672464;686855;687330;706349;696370;697,952;711,944;716,635
Mississippi;311817;316126;319352;318427;330736;327020;333,009;312,377;335,585
Missouri;690485;709721;714762;723468;721764;726046;736,783;747,12;764,037
Montana;111477;117052;114985;117479;118512;120750;117,221;122,676;128,346
Nebraska;219999;223214;224828;224494;229621;232501;231,114;237,514;239,172
Nevada;320659;320345;334022;339892;346736;359446;370,239;385,594;392,557
New Hampshire;135026;135065;137567;140874;144326;147196;150,88;153,638;157,983
New Jersey;1005918;1023484;1024011;1036125;1053318;1060132;1,072,646;1,089,374;1,075,852
New Mexico;219846;230729;234467;233177;238604;231232;243,382;247,363;246,2
New York;2342090;2391858;2441573;2492759;2549884;2582494;2,606,044;2,651,959;2,627,987
North Carolina;1065012;1064677;1082165;1102471;1123702;1143191;1,184,050;1,219,077;1,255,301
North Dakota;85204;88905;94401;96348;101825;108196;110,433;109,563;108,575
Ohio;1280620;1283827;1294361;1306851;1336570;1367228;1,376,749;1,406,599;1,418,627
Oklahoma;441123;446113;454900;456713;466877;476266;478,56;483,919;493,229
Oregon;459953;471057;476578;482360;487555;503719;524,906;530,833;543,991
Pennsylvania;1380761;1405373;1439376;1462920;1489699;1518212;1,548,766;1,565,491;1,576,448
Rhode Island;109422;115010;116408;120866;122927;130237;135,049;135,171;139,28
South Carolina;505112;510430;523109;525132;537765;561787;571,848;578,485;592,739
South Dakota;96073;95592;102173;103033;103074;102933;100,997;106,756;107,821
Tennessee;718988;737657;749143;751885;767066;777408;807,452;834,732;842,338
Texas;2981169;3072514;3169138;3250338;3345754;3447694;3,547,482;3,640,816;3,727,676
Utah;410024;398495;407184;406894;398712;406490;415,611;422,012;431,335
Vermont;65216;66033;64752;65372;69006;64762;65,879;68,936;72,485
Virginia;969768;1005812;1045400;1057570;1069950;1082827;1,065,540;1,084,730;1,093,068
Washington;834562;863652;876344;890247;920332;958369;987,942;1,022,222;1,067,962
West Virginia;195699;196138;196391;193470;200185;197532;194,683;190,618;192,401
Wisconsin;654667;672287;675652;677652;678886;676867;681,539;684,857;688,245
Wyoming;72485;72201;74127;75811;77330;75566;76,422;74,748;72,189