jurisdiction,year,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft,,,,,,
Alaska,2001,0,0,"633,630","3,735",39,501,,514,"2,681","23,160","3,847","16,695","2,618",,,,,,
Alaska,2002,0,0,"641,482","3,627",33,511,,489,"2,594","24,118","3,908","17,739","2,471",,,,,,
Alaska,2003,0,0,"648,280","3,877",39,605,,446,"2,787","24,386","3,874","18,051","2,461",,,,,,
Alaska,2004,0,0,"657,755","4,159",37,558,,447,"3,117","22,172","3,773","16,159","2,240",,,,,,
Alaska,2005,0,0,"663,253","4,194",32,538,,537,"3,087","23,975","4,131","17,249","2,595",,,,,,
Alaska,2006,0,0,"670,053","4,610",36,512,,600,"3,462","23,975","4,155","17,284","2,536",,,,,,
Alaska,2007,0,0,"683,478","4,520",43,545,,581,"3,351","23,096","3,734","16,929","2,433",,,,,,
Alaska,2008,0,0,"686,293","4,475",27,447,,645,"3,356","20,090","3,237","15,225","1,628",,,,,,
Alaska,2009,0,0,"698,473","4,424",22,513,,654,"3,235","20,538","3,600","15,251","1,687",,,,,,
Alaska,2010,0,0,"714,146","4,537",31,533,,594,"3,379","20,259","3,105","15,535","1,619",,,,,,
Alaska,2011,0,0,"723,860","4,416",30,436,,576,"3,374","19,094","2,852","14,854","1,388",,,,,,
Alaska,2012,0,0,"730,307","4,412",30,583,,630,"3,169","20,037","2,950","15,565","1,522",,,,,,
Alaska,2013,0,0,"737,259","4,709",34,657,925,623,"3,127","21,211","2,917","16,599","1,695",,,,,,
Alaska,2014,0,0,"736,732","4,684",41,555,771,629,"3,243","20,334","3,150","15,445","1,739",,,,,,
Arizona,2001,0,0,"5,306,966","28,675",400,"1,518",,"8,868","17,889","293,874","54,821","186,850","52,203",,,,,,
Arizona,2002,0,0,"5,441,125","30,171",387,"1,608",,"8,000","20,176","318,296","59,087","201,541","57,668",,,,,,
Arizona,2003,0,0,"5,579,222","28,638",441,"1,856",,"7,619","18,722","314,335","58,613","198,725","56,997",,,,,,
Arizona,2004,0,0,"5,739,879","28,952",414,"1,896",,"7,721","18,921","291,203","56,885","179,012","55,306",,,,,,
Arizona,2005,0,0,"5,953,007","30,478",445,"2,006",,"8,579","19,448","287,345","56,328","176,112","54,905",,,,,,
Arizona,2006,0,0,"6,166,318","33,456",533,"2,449",,"9,491","20,983","294,389","59,418","178,321","56,650",,,,,,
Arizona,2007,0,0,"6,338,755","32,835",548,"2,353",,"9,764","20,170","287,308","59,988","177,076","50,244",,,,,,
Arizona,2008,0,0,"6,500,180","31,567",462,"2,200",,"9,809","19,096","266,653","58,606","169,460","38,587",,,,,,
Arizona,2009,0,0,"6,595,778","28,128",380,"2,279",,"8,199","17,270","236,721","54,308","155,976","26,437",,,,,,
Arizona,2010,0,0,"6,413,158","26,528",408,"2,191",,"6,953","16,976","226,802","50,932","154,137","21,733",,,,,,
Arizona,2011,0,0,"6,467,315","26,789",397,"2,499",,"7,145","16,748","229,896","54,695","155,400","19,801",,,,,,
Arizona,2012,0,0,"6,551,149","28,077",358,"2,282",,"7,383","18,054","231,701","52,911","159,808","18,982",,,,,,
Arizona,2013,0,0,"6,634,997","27,576",355,"2,344","3,174","6,656","17,391","223,294","48,292","158,036","16,966",,,,,,
Arizona,2014,0,0,"6,731,484","26,916",319,"2,464","3,378","6,249","16,970","215,240","43,562","154,091","17,587",,,,,,
Alabama,2001,0,0,"4,468,912","19,582",379,"1,369",,"5,584","12,250","173,253","40,642","119,992","12,619",,,,,,
Alabama,2002,0,0,"4,478,896","19,931",303,"1,664",,"5,962","12,002","180,400","42,578","123,932","13,890",,,,,,
Alabama,2003,0,0,"4,503,726","19,331",299,"1,656",,"6,038","11,338","182,241","43,245","124,039","14,957",,,,,,
Alabama,2004,0,0,"4,525,375","19,324",254,"1,742",,"6,042","11,286","182,340","44,666","123,650","14,024",,,,,,
Alabama,2005,0,0,"4,548,327","19,678",374,"1,564",,"6,447","11,293","177,393","43,473","120,780","13,140",,,,,,
Alabama,2006,0,0,"4,599,030","19,553",382,"1,646",,"7,062","10,463","181,249","44,780","121,451","15,018",,,,,,
Alabama,2007,0,0,"4,627,851","20,775",412,"1,548",,"7,398","11,417","184,082","45,379","124,465","14,238",,,,,,
Alabama,2008,0,0,"4,661,900","21,110",351,"1,618",,"7,346","11,795","190,416","50,411","126,539","13,466",,,,,,
Alabama,2009,0,0,"4,708,708","21,194",322,"1,504",,"6,265","13,103","178,007","48,844","118,072","11,091",,,,,,
Alabama,2010,0,0,"4,785,401","18,363",275,"1,355",,"4,864","11,869","168,828","42,484","115,564","10,780",,,,,,
Alabama,2011,1,0,"4,803,689","20,166",299,"1,370",,"4,906","13,591","173,192","51,119","111,411","10,662",,,,,,
Alabama,2012,0,0,"4,817,528","21,693",342,"1,296",,"5,020","15,035","168,878","47,481","111,523","9,874",,,,,,
Alabama,2013,0,0,"4,833,996","20,834",346,"1,449","2,055","4,645","13,788","161,835","42,410","108,862","10,563",,,,,,
Alabama,2014,0,0,"4,849,377","20,727",276,"1,436","2,005","4,701","13,745","154,094","39,715","104,238","10,141",,,,,,
Arkansas,2001,0,0,"2,694,698","12,190",148,892,,"2,181","8,969","99,106","22,196","69,590","7,320",,,,,,
Arkansas,2002,0,0,"2,706,268","11,501",142,754,,"2,524","8,081","101,171","23,229","71,129","6,813",,,,,,
Arkansas,2003,0,0,"2,727,774","12,449",180,911,,"2,227","9,131","99,084","25,016","68,061","6,007",,,,,,
Arkansas,2004,0,0,"2,750,000","13,814",176,"1,183",,"2,372","10,083","110,911","30,151","74,242","6,518",,,,,,
Arkansas,2005,0,0,"2,775,708","14,670",189,"1,202",,"2,532","10,747","112,914","30,118","75,510","7,286",,,,,,
Arkansas,2006,0,0,"2,810,872","15,538",205,"1,325",,"2,749","11,259","112,025","31,864","72,646","7,515",,,,,,
Arkansas,2007,0,0,"2,834,797","15,226",198,"1,294",,"3,105","10,629","112,130","32,035","73,096","6,999",,,,,,
Arkansas,2008,0,0,"2,855,390","14,649",165,"1,463",,"2,777","10,244","110,360","33,912","69,905","6,543",,,,,,
Arkansas,2009,0,0,"2,889,450","14,905",179,"1,378",,"2,576","10,772","109,078","34,753","68,228","6,097",,,,,,
Arkansas,2010,0,0,"2,921,588","14,711",134,"1,321",,"2,369","10,887","103,820","32,463","65,796","5,561",,,,,,
Arkansas,2011,0,0,"2,938,582","14,173",160,"1,230",,"2,357","10,426","110,430","34,016","70,645","5,769",,,,,,
Arkansas,2012,0,0,"2,949,828","13,851",174,"1,233",,"2,310","10,134","109,389","32,673","70,982","5,734",,,,,,
Arkansas,2013,0,0,"2,958,765","13,705",158,"1,135","1,490","2,261","9,796","106,477","30,369","70,430","5,678",,,,,,
Arkansas,2014,0,0,"2,966,369","14,243",165,"1,182","1,763","2,050","10,265","99,018","24,790","68,627","5,601",,,,,,
California,2001,0,0,"34,600,463","212,867","2,206","9,960",,"64,614","136,087","1,134,189","232,273","697,739","204,177",,,,,,
California,2002,0,0,"35,001,986","208,388","2,395","10,198",,"64,968","130,827","1,176,484","238,428","715,692","222,364",,,,,,
California,2003,0,0,"35,462,712","205,551","2,407","9,994",,"63,770","129,380","1,215,086","242,274","731,486","241,326",,,,,,
California,2004,0,0,"35,842,038","189,175","2,392","9,615",,"61,768","115,400","1,227,194","245,903","728,687","252,604",,,,,,
California,2005,0,0,"36,154,147","190,178","2,503","9,392",,"63,622","114,661","1,200,531","250,521","692,467","257,543",,,,,,
California,2006,0,0,"36,457,549","194,483","2,486","9,235",,"71,142","111,620","1,159,988","247,230","669,103","243,655",,,,,,
California,2007,0,0,"36,553,215","191,561","2,262","9,046",,"70,706","109,547","1,112,510","237,850","654,526","220,134",,,,,,
California,2008,0,0,"36,756,666","185,329","2,142","8,903",,"69,388","104,896","1,080,996","237,811","650,656","192,529",,,,,,
California,2009,0,0,"36,961,664","174,934","1,972","8,713",,"64,093","100,156","1,009,433","230,198","615,402","163,833",,,,,,
California,2010,0,0,"37,338,198","164,133","1,809","8,331",,"58,116","95,877","981,939","228,857","600,558","152,524",,,,,,
California,2011,0,0,"37,683,933","154,943","1,792","7,665",,"54,291","91,195","973,822","230,075","596,905","146,842",,,,,,
California,2012,0,0,"37,999,878","160,944","1,884","7,837",,"56,521","94,702","1,049,465","245,767","635,090","168,608",,,,,,
California,2013,0,0,"38,431,393","154,739","1,746","7,464","10,324","53,640","89,029","1,018,907","232,058","621,557","165,292",,,,,,
California,2014,0,0,"38,802,500","153,709","1,699","8,398","11,527","48,680","91,803","947,192","202,670","592,670","151,852",,,,,,
Colorado,2001,0,0,"4,430,989","15,492",158,"1,930",,"3,555","9,849","170,887","28,533","121,360","20,994",,,,,,
Colorado,2002,0,0,"4,501,051","15,882",179,"2,066",,"3,579","10,058","180,054","31,678","125,193","23,183",,,,,,
Colorado,2003,0,0,"4,547,633","15,757",185,"1,913",,"3,738","9,921","179,706","32,394","124,496","22,816",,,,,,
Colorado,2004,0,0,"4,601,821","17,121",201,"1,945",,"3,739","11,236","180,322","33,010","123,308","24,004",,,,,,
Colorado,2005,0,0,"4,663,295","18,498",173,"2,026",,"3,948","12,351","188,449","34,746","127,602","26,101",,,,,,
Colorado,2006,0,0,"4,753,377","18,794",171,"2,158",,"3,824","12,641","163,439","32,411","110,372","20,656",,,,,,
Colorado,2007,0,0,"4,861,515","17,101",155,"2,075",,"3,461","11,410","145,808","28,633","100,519","16,656",,,,,,
Colorado,2008,0,0,"4,939,456","17,480",165,"2,151",,"3,404","11,760","139,340","28,054","97,937","13,349",,,,,,
Colorado,2009,0,0,"5,024,748","17,022",159,"2,269",,"3,371","11,223","134,196","26,637","95,079","12,480",,,,,,
Colorado,2010,0,0,"5,047,692","16,339",129,"2,230",,"3,164","10,816","135,001","26,196","97,534","11,271",,,,,,
Colorado,2011,0,0,"5,116,302","16,085",155,"2,285",,"3,299","10,346","132,781","25,725","96,054","11,002",,,,,,
Colorado,2012,0,0,"5,189,458","15,951",152,"2,122",,"3,392","10,285","139,355","26,163","101,091","12,101",,,,,,
Colorado,2013,0,0,"5,272,086","16,099",174,"2,198","2,963","3,136","9,826","139,974","25,075","102,375","12,524",,,,,,
Colorado,2014,0,0,"5,355,866","16,554",151,"2,121","3,039","3,039","10,325","135,510","23,472","99,464","12,574",,,,,,
Connecticut,2001,0,0,"3,434,602","11,492",105,639,,"4,183","6,565","95,299","17,159","65,762","12,378",,,,,,
Connecticut,2002,0,0,"3,458,587","10,807",84,740,,"4,069","5,914","93,426","17,111","64,735","11,580",,,,,,
Connecticut,2003,0,0,"3,486,960","11,045",112,698,,"4,212","6,023","92,981","16,043","65,568","11,370",,,,,,
Connecticut,2004,0,0,"3,498,966","10,113",100,755,,"4,188","5,070","93,942","15,959","66,770","11,213",,,,,,
Connecticut,2005,0,0,"3,500,701","9,542",105,712,,"3,933","4,792","90,270","15,245","64,416","10,609",,,,,,
Connecticut,2006,0,0,"3,504,809","10,505",137,696,,"4,460","5,212","90,638","15,583","64,765","10,290",,,,,,
Connecticut,2007,0,0,"3,502,309","10,547",113,690,,"4,303","5,441","86,528","15,640","60,937","9,951",,,,,,
Connecticut,2008,0,0,"3,501,252","10,737",132,680,,"4,043","5,882","87,210","15,107","63,212","8,891",,,,,,
Connecticut,2009,0,0,"3,518,288","10,588",106,657,,"4,001","5,824","82,625","15,172","59,992","7,461",,,,,,
Connecticut,2010,0,0,"3,575,498","10,083",133,595,,"3,553","5,802","78,259","15,145","56,413","6,701",,,,,,
Connecticut,2011,0,0,"3,586,717","9,889",129,689,,"3,689","5,382","77,205","15,468","55,067","6,670",,,,,,
Connecticut,2012,0,0,"3,591,765","10,183",117,933,,"3,709","5,424","77,169","14,787","55,904","6,478",,,,,,
Connecticut,2013,0,0,"3,599,341","9,439",91,647,891,"3,551","4,906","71,274","12,934","52,099","6,241",,,,,,
Connecticut,2014,0,0,"3,596,677","8,522",86,571,782,"3,159","4,495","69,070","11,955","51,005","6,110",,,,,,
Delaware,2001,0,0,"796,599","4,868",23,420,,"1,156","3,269","27,399","5,144","19,476","2,779",,,,,,
Delaware,2002,0,0,"805,945","4,836",26,358,,"1,154","3,298","26,967","5,355","18,555","3,057",,,,,,
Delaware,2003,0,0,"818,166","5,525",21,370,,"1,441","3,693","27,943","6,066","18,933","2,944",,,,,,
Delaware,2004,0,0,"830,069","5,105",28,357,,"1,343","3,377","27,256","5,669","19,285","2,302",,,,,,
Delaware,2005,0,0,"841,741","5,332",37,377,,"1,306","3,612","26,245","5,811","18,085","2,349",,,,,,
Delaware,2006,0,0,"853,476","5,983",42,417,,"1,791","3,733","29,670","6,337","20,449","2,884",,,,,,
Delaware,2007,0,0,"864,764","6,100",39,341,,"1,763","3,957","29,216","6,420","20,454","2,342",,,,,,
Delaware,2008,0,0,"873,092","6,187",57,371,,"1,847","3,912","31,385","6,783","22,045","2,557",,,,,,
Delaware,2009,0,0,"885,122","5,713",41,395,,"1,680","3,597","29,685","6,943","20,836","1,906",,,,,,
Delaware,2010,0,0,"899,792","5,608",51,326,,"1,839","3,392","31,078","7,550","21,593","1,935",,,,,,
Delaware,2011,0,0,"908,137","5,144",48,307,,"1,558","3,231","31,163","7,617","22,001","1,545",,,,,,
Delaware,2012,0,0,"917,053","5,048",56,249,,"1,498","3,245","30,707","7,389","21,880","1,438",,,,,,
Delaware,2013,0,0,"925,240","4,633",41,278,399,"1,233","2,960","29,001","6,299","21,347","1,355",,,,,,
Delaware,2014,0,0,"935,614","4,576",54,249,386,"1,269","2,867","27,900","5,768","20,865","1,267",,,,,,
DC,2001,0,0,"573,822","9,195",231,181,,"3,780","5,003","35,232","4,949","22,313","7,970",,,,,,
DC,2002,1,0,"569,157","9,322",264,262,,"3,834","4,962","36,477","5,170","21,708","9,599",,,,,,
DC,2003,0,0,"557,620","9,061",249,274,,"3,941","4,597","32,696","4,671","18,119","9,906",,,,,,
DC,2004,0,0,"554,239","7,590",198,222,,"3,202","3,968","26,896","3,946","14,542","8,408",,,,,,
DC,2005,0,0,"582,049","8,032",195,166,,"3,700","3,971","26,133","3,577","14,836","7,720",,,,,,
DC,2006,0,0,"581,530","8,772",169,185,,"3,829","4,589","27,064","3,835","15,908","7,321",,,,,,
DC,2007,0,0,"588,292","8,325",181,192,,"4,265","3,687","28,922","3,926","17,390","7,606",,,,,,
DC,2008,0,0,"591,833","8,509",186,186,,"4,430","3,707","30,211","3,788","19,958","6,465",,,,,,
DC,2009,1,0,"599,657","8,089",145,150,,"4,404","3,390","28,495","3,696","19,267","5,532",,,,,,
DC,2010,0,0,"604,912","8,026",132,187,,"4,325","3,382","28,802","4,233","19,514","5,055",,,,,,
DC,2011,0,0,"619,020","7,433",108,173,,"4,094","3,058","29,654","3,850","21,347","4,457",,,,,,
DC,2012,1,0,"633,427","7,866",88,236,,"4,037","3,505","30,757","3,519","23,575","3,663",,,,,,
DC,2013,0,0,"649,111","8,415",103,297,395,"4,082","3,835","31,097","3,316","24,547","3,234",,,,,,
DC,2014,0,0,"658,893","8,199",105,352,472,"3,497","4,125","34,147","3,466","26,898","3,783",,,,,,
Florida,2001,0,0,"16,373,330","130,713",874,"6,641",,"32,867","90,331","782,517","176,052","516,548","89,917",,,,,,
Florida,2002,0,0,"16,691,701","128,721",911,"6,753",,"32,581","88,476","777,236","177,242","511,478","88,516",,,,,,
Florida,2003,0,0,"16,999,181","124,280",924,"6,727",,"31,523","85,106","757,696","170,644","505,489","81,563",,,,,,
Florida,2004,0,0,"17,385,430","123,754",946,"6,612",,"29,997","86,199","727,141","166,332","482,484","78,325",,,,,,
Florida,2005,0,0,"17,768,191","125,957",883,"6,592",,"30,141","88,341","712,998","164,783","472,912","75,303",,,,,,
Florida,2006,0,0,"18,089,888","129,602","1,129","6,475",,"34,147","87,851","721,101","170,873","473,774","76,454",,,,,,
Florida,2007,0,0,"18,251,243","131,878","1,202","6,149",,"38,155","86,372","746,249","181,836","490,783","73,630",,,,,,
Florida,2008,0,0,"18,328,340","126,256","1,168","5,972",,"36,268","82,848","758,889","188,472","506,902","63,515",,,,,,
Florida,2009,0,0,"18,537,969","113,541","1,017","5,501",,"30,911","76,112","712,010","181,884","479,867","50,259",,,,,,
Florida,2010,0,0,"18,838,613","101,969",987,"5,373",,"26,086","69,523","669,035","169,119","458,454","41,462",,,,,,
Florida,2011,0,0,"19,082,262","98,198",984,"5,273",,"25,622","66,319","671,200","170,171","461,408","39,621",,,,,,
Florida,2012,0,0,"19,320,749","94,087","1,009","5,260",,"23,889","63,929","632,988","153,563","442,095","37,330",,,,,,
Florida,2013,0,0,"19,600,311","91,993",972,"4,765","6,767","23,200","61,054","607,170","138,915","433,344","34,911",,,,,,
Florida,2014,0,0,"19,893,297","107,521","1,149","6,051","8,563","24,914","72,895","679,446","143,220","493,647","42,579",,,,,,
Georgia,2001,0,0,"8,405,677","41,671",598,"2,180",,"14,402","24,491","347,872","71,799","238,484","37,589",,,,,,
Georgia,2002,0,0,"8,544,005","39,271",606,"2,108",,"13,432","23,125","346,559","73,932","234,591","38,036",,,,,,
Georgia,2003,0,0,"8,676,460","39,435",657,"2,234",,"14,043","22,501","369,589","79,001","247,196","43,392",,,,,,
Georgia,2004,0,0,"8,918,129","40,217",613,"2,387",,"13,656","23,561","376,656","82,992","249,426","44,238",,,,,,
Georgia,2005,0,0,"9,132,553","40,725",564,"2,143",,"14,041","23,977","378,534","84,463","249,594","44,477",,,,,,
Georgia,2006,0,0,"9,363,941","44,754",605,"2,169",,"15,511","26,469","362,712","85,140","234,445","43,127",,,,,,
Georgia,2007,0,0,"9,544,750","46,917",720,"2,198",,"17,291","26,708","371,248","90,294","238,436","42,518",,,,,,
Georgia,2008,0,0,"9,685,744","47,353",640,"2,334",,"17,808","26,571","387,917","100,564","247,709","39,644",,,,,,
Georgia,2009,0,0,"9,829,211","42,073",566,"2,323",,"14,631","24,553","360,985","98,606","229,216","33,163",,,,,,
Georgia,2010,0,0,"9,712,157","39,068",555,"2,107",,"12,372","24,034","353,449","96,947","226,161","30,341",,,,,,
Georgia,2011,0,0,"9,812,460","36,762",549,"2,066",,"12,266","21,881","357,235","96,014","231,543","29,678",,,,,,
Georgia,2012,0,0,"9,915,646","37,675",583,"2,143",,"12,502","22,447","339,473","86,992","223,875","28,606",,,,,,
Georgia,2013,0,0,"9,994,759","37,519",563,"2,022","2,891","12,704","21,361","339,808","83,459","229,190","27,159",,,,,,
Georgia,2014,0,0,"10,097,343","38,097",580,"2,159","3,048","12,417","22,052","331,316","76,428","228,034","26,854",,,,,,
Hawaii,2001,0,0,"1,227,024","3,117",32,409,,"1,142","1,534","62,830","11,162","44,925","6,743",,,,,,
Hawaii,2002,0,0,"1,240,663","3,262",24,372,,"1,210","1,656","71,976","12,722","49,344","9,910",,,,,,
Hawaii,2003,0,0,"1,248,755","3,400",22,367,,"1,168","1,843","65,867","11,409","44,807","9,651",,,,,,
Hawaii,2004,0,0,"1,262,124","3,213",33,333,,944,"1,903","60,525","10,827","41,078","8,620",,,,,,
Hawaii,2005,0,0,"1,273,278","3,253",24,343,,"1,001","1,885","61,115","9,792","42,188","9,135",,,,,,
Hawaii,2006,0,0,"1,285,498","3,608",21,353,,"1,144","2,090","54,247","8,724","37,784","7,739",,,,,,
Hawaii,2007,0,0,"1,283,388","3,544",24,377,,"1,122","2,021","52,866","9,089","37,494","6,283",,,,,,
Hawaii,2008,0,0,"1,288,198","3,510",26,363,,"1,085","2,036","45,944","9,404","31,424","5,116",,,,,,
Hawaii,2009,0,0,"1,295,178","3,550",23,385,,"1,030","2,112","47,516","9,244","33,415","4,857",,,,,,
Hawaii,2010,0,0,"1,363,359","3,603",25,377,,"1,065","2,136","45,667","8,706","31,681","5,280",,,,,,
Hawaii,2011,0,0,"1,378,129","3,465",20,353,,994,"2,098","43,874","8,165","31,240","4,469",,,,,,
Hawaii,2012,0,0,"1,390,090","3,378",21,279,,"1,125","1,953","43,419","7,653","31,901","3,865",,,,,,
Hawaii,2013,0,0,"1,408,987","3,585",32,366,508,934,"2,111","45,266","7,777","32,928","4,561",,,,,,
Hawaii,2014,0,0,"1,419,561","3,680",26,314,445,"1,107","2,102","43,297","7,778","31,640","3,879",,,,,,
Idaho,2001,0,0,"1,320,585","3,211",30,425,,245,"2,511","38,181","7,507","28,285","2,389",,,,,,
Idaho,2002,0,0,"1,343,124","3,419",36,497,,240,"2,646","39,128","7,441","29,060","2,627",,,,,,
Idaho,2003,0,0,"1,367,034","3,362",26,535,,245,"2,556","40,042","7,837","29,559","2,646",,,,,,
Idaho,2004,0,0,"1,395,140","3,452",31,594,,241,"2,586","38,799","7,671","28,389","2,739",,,,,,
Idaho,2005,0,0,"1,429,367","3,670",35,577,,266,"2,792","38,556","8,066","27,606","2,884",,,,,,
Idaho,2006,0,0,"1,466,465","3,666",35,611,,294,"2,726","35,135","7,545","25,154","2,436",,,,,,
Idaho,2007,0,0,"1,499,402","3,841",49,607,,243,"2,942","34,124","7,131","24,727","2,266",,,,,,
Idaho,2008,0,0,"1,523,816","3,680",23,579,,239,"2,839","31,940","6,748","23,532","1,660",,,,,,
Idaho,2009,0,0,"1,545,801","3,805",24,575,,254,"2,952","31,220","6,682","23,066","1,472",,,,,,
Idaho,2010,0,0,"1,571,102","3,464",22,533,,213,"2,696","31,436","6,513","23,594","1,329",,,,,,
Idaho,2011,0,0,"1,583,744","3,202",35,444,,188,"2,535","32,875","6,915","24,629","1,331",,,,,,
Idaho,2012,0,0,"1,595,590","3,348",30,495,,243,"2,580","31,825","7,240","23,203","1,382",,,,,,
Idaho,2013,0,0,"1,612,843","3,471",29,516,674,220,"2,548","30,230","6,693","21,999","1,538",,,,,,
Idaho,2014,0,0,"1,634,464","3,468",32,468,609,204,"2,623","30,316","6,428","22,227","1,661",,,,,,
Illinois,2001,0,1,"12,520,227","79,270",982,"4,010",,"24,931","49,347","434,648","79,158","306,757","48,733",,,,,,
Illinois,2002,0,1,"12,586,447","75,759",961,"4,370",,"25,314","45,114","430,479","81,440","304,227","44,812",,,,,,
Illinois,2003,0,1,"12,649,087","70,376",895,"4,189",,"23,786","41,506","415,885","78,345","295,907","41,633",,,,,,
Illinois,2004,0,1,"12,712,016","69,365",780,"4,220",,"22,582","41,783","403,486","76,088","287,025","40,373",,,,,,
Illinois,2005,0,1,"12,765,427","70,496",770,"4,313",,"23,255","42,158","394,670","77,635","277,662","39,373",,,,,,
Illinois,2006,0,1,"12,831,970","69,498",780,"4,078",,"23,782","40,858","387,478","77,259","272,578","37,641",,,,,,
Illinois,2007,0,1,"12,852,548","68,528",752,"4,103",,"23,100","40,573","377,322","75,524","267,911","33,887",,,,,,
Illinois,2008,0,1,"12,901,563","67,780",790,"4,118",,"24,054","38,818","378,355","78,968","266,815","32,572",,,,,,
Illinois,2009,0,1,"12,910,409","64,185",773,"3,901",,"22,923","36,588","353,347","77,850","248,821","26,676",,,,,,
Illinois,2010,0,1,"12,841,980","57,132",704,"3,066",,"20,386","32,976","349,064","77,472","242,681","28,911",,,,,,
Illinois,2011,0,1,"12,859,752","54,523",781,"3,030",,"20,217","30,495","344,468","77,719","237,362","29,387",,,,,,
Illinois,2012,0,1,"12,868,192","53,556",770,"3,581",,"19,480","29,725","332,706","71,100","235,314","26,292",,,,,,
Illinois,2013,0,1,"12,890,552","51,956",722,"3,895","5,340","17,733","28,161","296,048","59,093","216,059","20,896",,,,,,
Illinois,2014,0,1,"12,880,580","47,663",685,"3,081","4,159","15,299","27,520","267,385","50,008","199,926","17,451",,,,,,
Indiana,2001,0,0,"6,126,743","22,734",413,"1,716",,"7,171","13,434","211,548","42,758","147,291","21,499",,,,,,
Indiana,2002,0,0,"6,156,913","22,001",362,"1,843",,"6,612","13,184","208,965","42,605","146,073","20,287",,,,,,
Indiana,2003,0,0,"6,199,571","21,842",338,"1,720",,"6,401","13,383","208,039","41,582","145,686","20,771",,,,,,
Indiana,2004,0,0,"6,226,537","20,294",316,"1,803",,"6,373","11,802","211,929","42,168","148,670","21,091",,,,,,
Indiana,2005,0,0,"6,266,019","20,302",356,"1,856",,"6,809","11,281","216,778","43,756","151,278","21,744",,,,,,
Indiana,2006,0,0,"6,313,520","20,303",361,"1,811",,"7,175","10,956","217,783","45,538","150,655","21,590",,,,,,
Indiana,2007,0,0,"6,345,289","21,310",350,"1,738",,"7,845","11,377","213,887","46,485","147,999","19,403",,,,,,
Indiana,2008,0,0,"6,376,792","21,525",322,"1,711",,"7,580","11,912","213,639","48,805","147,334","17,500",,,,,,
Indiana,2009,0,0,"6,423,113","21,455",312,"1,621",,"7,347","12,175","199,907","48,880","137,190","13,837",,,,,,
Indiana,2010,0,0,"6,490,622","20,983",268,"1,760",,"6,559","12,396","199,274","48,570","137,204","13,500",,,,,,
Indiana,2011,0,0,"6,516,353","21,619",306,"1,758",,"6,977","12,578","206,016","50,571","140,630","14,815",,,,,,
Indiana,2012,0,0,"6,537,782","22,544",307,"1,661",,"6,601","13,975","197,994","47,689","136,668","13,637",,,,,,
Indiana,2013,0,0,"6,570,713","23,627",357,"1,623","2,241","7,114","13,915","187,472","42,754","130,534","14,184",,,,,,
Indiana,2014,0,0,"6,596,855","24,099",330,"1,615","2,186","6,897","14,686","174,776","36,893","124,022","13,861",,,,,,
Iowa,2001,0,0,"2,931,967","7,865",50,649,,"1,154","6,012","88,634","16,885","66,244","5,505",,,,,,
