jurisdiction,year,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft,,,,,,
Iowa,2002,0,0,"2,935,840","8,388",44,797,,"1,169","6,378","92,877","18,643","68,411","5,823",,,,,,
Iowa,2003,0,0,"2,941,976","8,175",50,796,,"1,131","6,198","87,554","17,515","64,400","5,639",,,,,,
Iowa,2004,0,0,"2,952,904","8,499",44,782,,"1,160","6,513","85,775","17,928","62,214","5,633",,,,,,
Iowa,2005,0,0,"2,965,524","8,697",40,847,,"1,153","6,657","84,370","18,147","60,723","5,500",,,,,,
Iowa,2006,0,0,"2,982,085","8,521",55,871,,"1,309","6,286","84,202","18,160","60,998","5,044",,,,,,
Iowa,2007,0,0,"2,988,046","8,970",39,970,,"1,328","6,633","79,133","17,176","57,018","4,939",,,,,,
Iowa,2008,0,0,"3,002,555","8,651",77,937,,"1,249","6,388","73,273","16,598","52,299","4,376",,,,,,
Iowa,2009,0,0,"3,007,856","8,485",38,890,,"1,201","6,356","70,080","16,419","49,757","3,904",,,,,,
Iowa,2010,0,0,"3,050,202","8,191",38,883,,"1,012","6,258","68,740","16,746","48,194","3,800",,,,,,
Iowa,2011,0,0,"3,064,097","7,883",44,866,,824,"6,149","72,043","17,573","50,472","3,998",,,,,,
Iowa,2012,0,0,"3,075,039","8,167",49,901,,962,"6,255","70,357","17,201","49,116","4,040",,,,,,
Iowa,2013,0,0,"3,092,341","8,443",41,873,"1,133",937,"6,332","67,976","15,918","47,803","4,255",,,,,,
Iowa,2014,0,0,"3,107,126","8,497",60,828,"1,128","1,045","6,264","65,056","14,428","46,477","4,151",,,,,,
Kansas,2001,0,0,"2,702,125","10,909",92,945,,"2,423","7,449","105,537","20,514","77,038","7,985",,,,,,
Kansas,2002,0,0,"2,711,769","10,229",78,"1,035",,"2,165","6,951","100,768","19,679","73,877","7,212",,,,,,
Kansas,2003,0,0,"2,724,786","10,831",125,"1,085",,"2,247","7,374","109,276","21,973","79,471","7,832",,,,,,
Kansas,2004,0,0,"2,733,697","10,330",122,"1,142",,"1,812","7,254","109,771","20,146","81,115","8,510",,,,,,
Kansas,2005,0,0,"2,748,172","10,701",101,"1,098",,"1,795","7,707","104,588","19,028","76,222","9,338",,,,,,
Kansas,2006,0,0,"2,764,075","11,960",125,"1,279",,"1,878","8,678","104,260","20,086","75,450","8,724",,,,,,
Kansas,2007,0,0,"2,775,997","12,730",106,"1,287",,"2,022","9,315","102,961","20,461","73,900","8,600",,,,,,
Kansas,2008,0,0,"2,802,134","11,554",113,"1,226",,"1,681","8,534","94,882","19,651","67,826","7,405",,,,,,
Kansas,2009,0,0,"2,818,747","11,460",125,"1,179",,"1,786","8,370","90,930","19,473","65,499","5,958",,,,,,
Kansas,2010,0,0,"2,859,143","10,602",97,"1,146",,"1,538","7,821","89,109","19,315","63,774","6,020",,,,,,
Kansas,2011,0,0,"2,870,386","10,209",111,"1,122",,"1,448","7,528","88,655","18,712","63,259","6,684",,,,,,
Kansas,2012,0,0,"2,885,398","10,292",85,"1,105",,"1,493","7,609","91,066","18,874","65,413","6,779",,,,,,
Kansas,2013,0,0,"2,895,801","9,928",117,"1,003","1,295","1,339","7,177","85,704","17,476","61,557","6,671",,,,,,
Kansas,2014,0,0,"2,904,021","10,123",91,"1,075","1,411","1,362","7,259","79,431","15,828","56,697","6,906",,,,,,
Kentucky,2001,0,1,"4,068,816","10,510",181,"1,051",,"3,269","6,009","107,356","26,964","71,448","8,944",,,,,,
Kentucky,2002,0,1,"4,089,822","11,101",191,"1,087",,"3,131","6,692","108,590","26,891","72,378","9,321",,,,,,
Kentucky,2003,0,1,"4,118,189","10,232",181,"1,124",,"3,224","5,703","103,370","26,034","69,083","8,253",,,,,,
Kentucky,2004,0,0,"4,141,835","10,152",236,"1,238",,"3,268","5,410","105,209","25,902","70,535","8,772",,,,,,
Kentucky,2005,0,0,"4,172,608","11,134",190,"1,421",,"3,690","5,833","105,608","26,458","70,354","8,796",,,,,,
Kentucky,2006,0,0,"4,206,074","11,361",173,"1,312",,"3,850","6,026","109,428","27,867","72,197","9,364",,,,,,
Kentucky,2007,0,0,"4,241,474","12,329",206,"1,365",,"4,068","6,690","107,987","27,820","71,489","8,678",,,,,,
Kentucky,2008,0,0,"4,269,245","12,690",201,"1,457",,"4,080","6,952","114,492","29,556","77,279","7,657",,,,,,
Kentucky,2009,0,0,"4,314,113","11,000",184,"1,531",,"3,642","5,643","108,914","29,880","72,938","6,096",,,,,,
Kentucky,2010,0,0,"4,347,223","10,604",188,"1,438",,"3,748","5,230","111,170","30,443","74,488","6,239",,,,,,
Kentucky,2011,0,0,"4,366,814","10,465",151,"1,499",,"3,705","5,110","119,037","32,750","79,586","6,701",,,,,,
Kentucky,2012,0,0,"4,379,730","9,852",201,"1,312",,"3,547","4,792","112,800","29,877","76,199","6,724",,,,,,
Kentucky,2013,0,0,"4,399,583","9,280",172,951,"1,646","3,247","4,215","104,448","26,331","72,048","6,069",,,,,,
Kentucky,2014,0,0,"4,413,457","9,340",160,883,"1,440","3,336","4,404","99,166","23,244","69,604","6,318",,,,,,
Louisiana,2001,0,0,"4,470,368","30,678",501,"1,403",,"7,864","20,910","207,693","46,451","139,555","21,687",,,,,,
Louisiana,2002,0,0,"4,476,192","29,690",593,"1,529",,"7,123","20,445","198,838","45,350","133,302","20,186",,,,,,
Louisiana,2003,0,0,"4,493,665","28,622",584,"1,601",,"7,008","19,429","193,698","44,572","129,471","19,655",,,,,,
Louisiana,2004,0,0,"4,506,685","28,844",574,"1,616",,"6,564","20,090","199,153","45,359","134,080","19,714",,,,,,
Louisiana,2005,0,0,"4,507,331","26,889",450,"1,421",,"5,337","19,681","166,611","39,382","112,840","14,389",,,,,,
Louisiana,2006,0,0,"4,287,768","30,923",555,"1,587",,"5,928","22,853","174,975","46,703","112,605","15,667",,,,,,
Louisiana,2007,0,0,"4,293,204","31,789",625,"1,427",,"6,316","23,421","180,516","46,932","118,291","15,293",,,,,,
Louisiana,2008,0,0,"4,410,796","29,613",544,"1,250",,"6,241","21,578","171,179","45,524","112,091","13,564",,,,,,
Louisiana,2009,0,0,"4,492,076","28,878",529,"1,351",,"6,150","20,848","172,619","46,928","114,102","11,589",,,,,,
Louisiana,2010,0,0,"4,545,343","25,241",500,"1,230",,"5,297","18,214","165,667","45,437","110,260","9,970",,,,,,
Louisiana,2011,0,0,"4,574,766","25,373",506,"1,262",,"5,235","18,370","168,529","46,242","113,174","9,113",,,,,,
Louisiana,2012,0,0,"4,602,134","22,839",489,"1,155",,"5,458","15,737","162,673","42,037","112,764","7,872",,,,,,
Louisiana,2013,0,0,"4,629,284","24,127",494,"1,248","1,763","5,539","16,331","165,679","41,214","115,300","9,165",,,,,,
Louisiana,2014,0,0,"4,649,676","23,934",477,992,"1,375","5,695","16,387","160,824","38,337","112,596","9,891",,,,,,
Maine,2001,0,0,"1,284,470","1,435",19,326,,264,826,"33,154","6,898","24,585","1,671",,,,,,
Maine,2002,0,0,"1,294,894","1,396",14,377,,270,735,"32,985","6,965","24,591","1,429",,,,,,
Maine,2003,0,0,"1,309,205","1,422",16,354,,289,763,"32,078","6,579","24,043","1,456",,,,,,
Maine,2004,0,0,"1,314,985","1,364",18,315,,289,742,"31,740","6,341","24,096","1,303",,,,,,
Maine,2005,0,0,"1,318,220","1,483",19,326,,323,815,"31,889","6,323","24,218","1,348",,,,,,
Maine,2006,0,0,"1,321,574","1,533",23,341,,383,786,"33,658","6,846","25,465","1,347",,,,,,
Maine,2007,0,0,"1,317,207","1,565",20,392,,349,804,"32,249","6,745","24,228","1,276",,,,,,
Maine,2008,0,0,"1,316,456","1,572",31,379,,333,829,"32,433","6,559","24,695","1,179",,,,,,
Maine,2009,0,0,"1,318,301","1,580",26,375,,399,780,"31,706","6,729","23,955","1,022",,,,,,
Maine,2010,0,0,"1,327,379","1,621",24,389,,412,796,"32,900","7,364","24,547",989,,,,,,
Maine,2011,0,0,"1,328,544","1,638",26,394,,370,848,"33,829","7,865","24,886","1,078",,,,,,
Maine,2012,0,0,"1,328,501","1,626",26,372,,420,808,"33,398","7,476","24,931",991,,,,,,
Maine,2013,0,0,"1,328,702","1,761",24,366,495,335,907,"30,454","6,480","23,063",911,,,,,,
Maine,2014,0,0,"1,330,089","1,700",21,360,485,304,890,"26,421","5,030","20,592",799,,,,,,
Maryland,2001,0,0,"5,386,079","42,088",446,"1,449",,"13,525","26,668","219,512","41,553","145,934","32,025",,,,,,
Maryland,2002,0,0,"5,450,525","42,015",513,"1,370",,"13,417","26,715","217,105","39,765","143,320","34,020",,,,,,
Maryland,2003,0,0,"5,512,310","38,778",525,"1,358",,"13,302","23,593","209,418","38,641","134,372","36,405",,,,,,
Maryland,2004,0,0,"5,561,332","38,961",521,"1,317",,"12,772","24,351","202,474","36,704","129,888","35,882",,,,,,
Maryland,2005,0,0,"5,589,599","39,369",552,"1,266",,"14,378","23,173","198,483","35,922","128,491","34,070",,,,,,
Maryland,2006,0,0,"5,615,727","38,111",546,"1,178",,"14,376","22,011","195,484","37,459","127,502","30,523",,,,,,
Maryland,2007,0,0,"5,618,344","36,063",554,"1,179",,"13,258","21,072","192,796","37,095","127,308","28,393",,,,,,
Maryland,2008,0,0,"5,633,597","35,393",493,"1,127",,"13,203","20,570","198,165","38,849","133,983","25,333",,,,,,
Maryland,2009,0,0,"5,699,478","33,625",440,"1,156",,"12,007","20,022","182,295","36,905","125,771","19,619",,,,,,
Maryland,2010,0,0,"5,785,681","31,607",426,"1,228",,"11,054","18,899","173,309","36,704","118,578","18,027",,,,,,
Maryland,2011,0,0,"5,839,572","28,817",399,"1,200",,"10,342","16,876","166,846","35,823","114,951","16,072",,,,,,
Maryland,2012,0,0,"5,884,868","28,086",373,"1,237",,"10,173","16,303","162,309","33,803","113,550","14,956",,,,,,
Maryland,2013,0,0,"5,938,737","28,235",384,"1,179","1,679","10,048","16,124","157,918","31,950","112,551","13,417",,,,,,
Maryland,2014,0,0,"5,976,407","26,661",365,"1,144","1,619","9,544","15,133","149,859","28,012","108,745","13,102",,,,,,
Massachusetts,2001,0,0,"6,401,164","30,585",143,"1,856",,"6,476","22,110","167,079","32,430","106,821","27,828",,,,,,
Massachusetts,2002,0,0,"6,421,800","31,137",173,"1,777",,"7,169","22,018","167,753","33,243","107,922","26,588",,,,,,
Massachusetts,2003,0,0,"6,420,357","30,377",140,"1,848",,"8,011","20,378","164,543","34,963","104,069","25,511",,,,,,
Massachusetts,2004,0,0,"6,407,382","29,489",171,"1,794",,"7,484","20,040","158,150","34,497","101,605","22,048",,,,,,
Massachusetts,2005,0,0,"6,433,367","29,644",178,"1,751",,"7,837","19,878","151,727","34,728","98,079","18,920",,,,,,
Massachusetts,2006,0,0,"6,437,193","32,217",188,"1,771",,"8,080","22,178","153,943","35,243","100,725","17,975",,,,,,
Massachusetts,2007,0,0,"6,449,755","28,487",187,"1,643",,"7,021","19,636","154,743","35,767","103,925","15,051",,,,,,
Massachusetts,2008,0,0,"6,497,967","30,137",166,"1,751",,"7,077","21,143","155,919","36,251","106,913","12,755",,,,,,
Massachusetts,2009,0,0,"6,593,587","30,503",173,"1,734",,"7,467","21,129","153,178","34,515","106,799","11,864",,,,,,
Massachusetts,2010,0,0,"6,555,466","30,737",214,"1,784",,"6,897","21,842","154,496","37,903","105,124","11,469",,,,,,
Massachusetts,2011,0,0,"6,607,003","28,232",184,"1,654",,"6,768","19,626","148,829","36,403","101,644","10,782",,,,,,
Massachusetts,2012,0,0,"6,645,303","27,047",121,"1,650",,"6,555","18,721","143,325","34,635","99,453","9,237",,,,,,
Massachusetts,2013,0,0,"6,708,874","27,264",138,"1,722","2,303","6,705","18,118","137,274","30,716","97,437","9,121",,,,,,
Massachusetts,2014,0,0,"6,745,408","26,399",132,"1,629","2,180","6,036","18,051","125,267","24,964","92,043","8,260",,,,,,
Michigan,2001,0,0,"10,006,266","55,424",672,"5,264",,"12,937","36,551","352,353","72,038","226,708","53,607",,,,,,
Michigan,2002,0,0,"10,043,221","54,306",678,"5,364",,"11,847","36,417","335,060","70,970","214,367","49,723",,,,,,
Michigan,2003,0,0,"10,082,364","51,550",612,"5,470",,"11,254","34,214","330,565","68,316","208,538","53,711",,,,,,
Michigan,2004,0,0,"10,104,206","49,737",643,"5,482",,"11,336","32,276","309,805","64,233","194,988","50,584",,,,,,
Michigan,2005,0,0,"10,100,833","55,936",629,"5,199",,"13,348","36,760","312,892","70,527","194,090","48,275",,,,,,
Michigan,2006,0,0,"10,095,643","56,981",721,"5,347",,"14,229","36,684","325,594","76,313","199,183","50,098",,,,,,
Michigan,2007,0,0,"10,071,822","53,765",661,"4,592",,"13,365","35,147","308,550","75,273","191,289","41,988",,,,,,
Michigan,2008,0,0,"10,003,422","51,512",554,"4,507",,"13,246","33,205","295,100","74,787","184,558","35,755",,,,,,
Michigan,2009,0,0,"9,969,727","49,825",623,"4,524",,"12,427","32,251","284,019","76,046","178,628","29,345",,,,,,
Michigan,2010,0,0,"9,877,143","48,693",580,"4,733",,"11,522","31,858","271,501","74,345","169,748","27,408",,,,,,
Michigan,2011,0,0,"9,876,801","43,731",617,"4,344",,"10,263","28,507","251,329","69,755","156,666","24,908",,,,,,
Michigan,2012,0,0,"9,882,519","44,962",701,"4,635",,"10,423","29,203","249,249","65,560","158,609","25,080",,,,,,
Michigan,2013,0,0,"9,898,193","44,757",625,"4,506","6,785","10,093","27,254","230,135","56,256","149,794","24,085",,,,,,
Michigan,2014,0,0,"9,909,877","42,348",535,"4,049","6,273","8,021","27,519","202,547","44,184","137,206","21,157",,,,,,
Minnesota,2001,0,0,"4,984,535","13,145",119,"2,236",,"3,758","7,032","165,046","25,496","124,519","15,031",,,,,,
Minnesota,2002,0,0,"5,024,791","13,428",112,"2,273",,"3,937","7,106","164,026","28,034","122,150","13,842",,,,,,
Minnesota,2003,0,0,"5,064,172","13,316",127,"2,092",,"3,906","7,191","157,663","27,698","116,216","13,749",,,,,,
Minnesota,2004,0,0,"5,096,546","13,751",113,"2,123",,"4,070","7,445","155,019","28,048","113,453","13,518",,,,,,
Minnesota,2005,0,0,"5,126,739","15,243",115,"2,258",,"4,724","8,146","158,301","29,716","114,304","14,281",,,,,,
Minnesota,2006,0,0,"5,167,101","16,042",126,"1,645",,"5,441","8,830","159,276","30,306","115,693","13,277",,,,,,
Minnesota,2007,0,0,"5,197,621","15,054",116,"1,873",,"4,770","8,295","158,257","29,717","115,892","12,648",,,,,,
Minnesota,2008,0,0,"5,220,393","13,853",110,"1,805",,"4,179","7,759","149,517","26,558","112,764","10,195",,,,,,
Minnesota,2009,0,0,"5,266,214","12,874",74,"1,789",,"3,619","7,392","139,286","25,580","105,160","8,546",,,,,,
Minnesota,2010,0,0,"5,310,658","12,515",96,"1,798",,"3,388","7,233","136,431","24,415","103,429","8,587",,,,,,
Minnesota,2011,0,0,"5,347,299","12,323",75,"2,113",,"3,385","6,750","136,183","25,681","102,354","8,148",,,,,,
Minnesota,2012,0,0,"5,379,646","12,419",99,"1,638",,"3,475","7,207","138,152","25,378","104,316","8,458",,,,,,
Minnesota,2013,0,0,"5,422,060","12,710",114,"1,453","2,014","3,674","6,908","131,193","22,713","100,514","7,966",,,,,,
Minnesota,2014,0,0,"5,457,173","12,505",88,"1,452","2,001","3,687","6,729","125,377","20,773","96,237","8,367",,,,,,
Mississippi,2001,0,0,"2,859,733","10,006",282,"1,147",,"3,294","5,283","109,609","29,821","70,315","9,473",,,,,,
Mississippi,2002,0,0,"2,866,733","9,858",264,"1,127",,"3,356","5,111","109,584","29,593","70,468","9,523",,,,,,
Mississippi,2003,0,0,"2,882,594","9,336",267,"1,079",,"3,016","4,974","106,867","29,564","68,307","8,996",,,,,,
Mississippi,2004,0,0,"2,900,768","8,568",227,"1,161",,"2,503","4,677","100,980","27,661","65,440","7,879",,,,,,
Mississippi,2005,0,0,"2,908,496","8,131",214,"1,147",,"2,405","4,365","95,231","26,866","60,873","7,492",,,,,,
Mississippi,2006,0,0,"2,910,540","9,076",231,"1,039",,"3,259","4,547","92,853","27,117","57,406","8,330",,,,,,
Mississippi,2007,0,0,"2,918,785","8,502",202,"1,033",,"2,896","4,371","90,887","27,223","56,473","7,191",,,,,,
Mississippi,2008,0,0,"2,938,618","8,942",236,958,,"3,079","4,669","85,488","25,506","53,730","6,252",,,,,,
Mississippi,2009,0,0,"2,951,996","8,451",194,991,,"2,969","4,297","87,327","29,559","52,329","5,439",,,,,,
Mississippi,2010,0,0,"2,970,072","7,999",204,931,,"2,777","4,087","88,596","30,453","52,784","5,359",,,,,,
Mississippi,2011,0,0,"2,977,457","8,009",232,863,,"2,496","4,418","89,809","30,722","54,179","4,908",,,,,,
Mississippi,2012,0,0,"2,986,450","7,769",213,819,,"2,277","4,460","83,933","28,084","51,520","4,329",,,,,,
Mississippi,2013,0,0,"2,992,206","8,303",217,726,"1,024","2,413","4,649","81,548","24,969","52,192","4,387",,,,,,
Mississippi,2014,0,0,"2,994,079","8,338",258,764,"1,058","2,430","4,592","87,462","24,352","58,591","4,519",,,,,,
Missouri,2001,0,0,"5,637,309","30,472",372,"1,383",,"7,771","20,946","238,411","42,977","167,420","28,014",,,,,,
Missouri,2002,0,0,"5,669,544","30,557",331,"1,465",,"7,024","21,737","230,520","42,721","159,921","27,878",,,,,,
Missouri,2003,0,0,"5,719,204","28,067",289,"1,400",,"6,686","19,692","233,564","41,997","161,616","29,951",,,,,,
Missouri,2004,0,0,"5,759,532","28,226",354,"1,479",,"6,630","19,763","224,629","40,472","158,264","25,893",,,,,,
Missouri,2005,0,0,"5,797,703","30,477",402,"1,625",,"7,196","21,254","227,809","42,822","159,288","25,699",,,,,,
Missouri,2006,0,0,"5,842,713","31,897",369,"1,764",,"7,597","22,167","224,007","44,734","153,874","25,399",,,,,,
Missouri,2007,0,0,"5,878,415","32,962",367,"1,785",,"7,728","23,082","225,113","44,897","156,319","23,897",,,,,,
Missouri,2008,0,0,"5,911,605","29,701",456,"1,612",,"7,395","20,238","216,522","45,763","150,002","20,757",,,,,,
Missouri,2009,0,0,"5,987,580","29,513",387,"1,606",,"7,437","20,083","201,783","43,591","140,764","17,428",,,,,,
Missouri,2010,0,0,"5,995,715","27,440",420,"1,445",,"6,185","19,390","200,858","44,197","140,526","16,135",,,,,,
Missouri,2011,0,0,"6,008,984","26,888",366,"1,469",,"6,275","18,778","199,085","44,875","138,879","15,331",,,,,,
Missouri,2012,0,0,"6,024,522","27,189",390,"1,527",,"5,782","19,490","199,813","42,510","140,971","16,332",,,,,,
Missouri,2013,0,0,"6,044,917","26,216",369,"1,679","2,305","5,486","18,056","189,655","38,797","134,514","16,344",,,,,,
Missouri,2014,0,0,"6,063,589","26,856",403,"1,706","2,379","5,592","18,482","176,237","35,258","124,622","16,357",,,,,,
Montana,2001,0,0,"905,382","3,187",34,188,,230,"2,735","30,175","3,670","24,684","1,821",,,,,,
Montana,2002,0,0,"910,372","3,197",16,237,,283,"2,661","28,751","3,289","23,679","1,783",,,,,,
Montana,2003,0,0,"918,157","3,351",30,246,,298,"2,777","28,428","3,722","22,800","1,906",,,,,,
Montana,2004,0,0,"926,920","2,723",30,273,,233,"2,187","27,215","3,515","22,082","1,618",,,,,,
Montana,2005,0,0,"934,737","2,634",18,301,,177,"2,138","29,407","3,642","23,794","1,971",,,,,,
Montana,2006,0,0,"944,632","3,564",33,348,,233,"2,950","26,986","3,380","21,659","1,947",,,,,,
Montana,2007,0,0,"957,861","3,638",27,363,,233,"3,015","27,837","3,476","22,315","2,046",,,,,,
Montana,2008,0,0,"967,440","3,013",40,358,,204,"2,411","26,300","3,689","20,834","1,777",,,,,,
Montana,2009,0,0,"974,989","2,798",32,357,,228,"2,181","24,826","3,686","19,528","1,612",,,,,,
Montana,2010,0,0,"990,958","2,733",25,332,,154,"2,222","25,409","3,692","20,166","1,551",,,,,,
Montana,2011,1,0,"997,667","2,755",29,366,,171,"2,189","23,885","3,347","19,089","1,449",,,,,,
Montana,2012,0,0,"1,005,494","2,803",29,392,,202,"2,180","26,102","3,920","20,484","1,698",,,,,,
Montana,2013,0,0,"1,014,864","2,924",23,382,467,217,"2,217","26,195","4,122","20,192","1,881",,,,,,
Montana,2014,0,0,"1,023,579","3,313",37,430,541,203,"2,532","25,312","3,595","19,674","2,043",,,,,,
Nebraska,2001,0,0,"1,720,039","5,214",43,431,,"1,128","3,612","68,963","9,760","52,713","6,490",,,,,,
Nebraska,2002,0,0,"1,727,564","5,428",48,464,,"1,359","3,557","68,178","10,329","51,440","6,409",,,,,,
Nebraska,2003,0,0,"1,737,475","5,105",56,504,,"1,165","3,380","65,189","10,133","48,924","6,132",,,,,,
Nebraska,2004,0,0,"1,747,704","5,393",40,620,,"1,138","3,595","61,512","9,826","46,399","5,287",,,,,,
Nebraska,2005,0,0,"1,758,163","5,052",44,581,,"1,040","3,387","60,348","9,408","45,359","5,581",,,,,,
Nebraska,2006,0,0,"1,768,331","5,197",51,577,,"1,136","3,433","59,411","9,535","44,710","5,166",,,,,,
Nebraska,2007,0,0,"1,774,571","5,524",71,550,,"1,115","3,788","55,765","9,035","41,484","5,246",,,,,,
Nebraska,2008,0,0,"1,783,432","5,570",69,601,,"1,297","3,603","51,350","8,731","38,394","4,225",,,,,,
Nebraska,2009,0,0,"1,796,619","5,199",41,617,,"1,220","3,321","49,731","8,726","37,496","3,509",,,,,,
Nebraska,2010,0,0,"1,830,141","5,093",54,674,,"1,020","3,345","48,827","8,318","36,896","3,613",,,,,,
Nebraska,2011,0,0,"1,842,234","4,672",68,699,,993,"2,912","50,894","8,725","38,060","4,109",,,,,,
Nebraska,2012,0,0,"1,855,350","4,802",52,710,,"1,128","2,912","51,203","8,745","38,301","4,157",,,,,,
Nebraska,2013,0,0,"1,868,969","4,949",56,621,847,"1,035","3,011","49,197","8,945","35,791","4,461",,,,,,
Nebraska,2014,0,0,"1,881,503","5,275",54,620,862,"1,043","3,316","47,479","7,950","35,074","4,455",,,,,,
Nevada,2001,0,0,"2,097,722","12,359",180,883,,"4,932","6,364","77,486","17,711","45,073","14,702",,,,,,
Nevada,2002,0,0,"2,167,455","13,856",181,928,,"5,118","7,629","83,896","18,951","47,459","17,486",,,,,,
Nevada,2003,0,0,"2,242,207","13,813",197,871,,"5,225","7,520","96,128","21,958","53,321","20,849",,,,,,
Nevada,2004,0,0,"2,332,898","14,379",172,954,,"4,905","8,348","98,215","23,142","52,438","22,635",,,,,,
Nevada,2005,0,0,"2,412,301","14,654",206,"1,016",,"4,702","8,730","102,424","23,481","52,012","26,931",,,,,,
Nevada,2006,0,0,"2,495,529","18,687",226,"1,092",,"7,038","10,331","102,338","24,902","50,429","27,007",,,,,,
Nevada,2007,0,0,"2,565,382","19,365",193,"1,096",,"6,938","11,138","97,118","24,911","49,844","22,363",,,,,,
Nevada,2008,0,0,"2,600,167","18,973",165,"1,106",,"6,486","11,216","90,006","24,254","49,814","15,938",,,,,,
Nevada,2009,0,0,"2,643,085","18,639",156,"1,024",,"6,028","11,431","80,976","22,115","46,463","12,398",,,,,,
Nevada,2010,0,0,"2,704,283","17,929",158,965,,"5,298","11,508","75,004","22,286","42,533","10,185",,,,,,
Nevada,2011,0,0,"2,720,028","15,452",139,913,,"4,308","10,092","70,075","20,342","40,156","9,577",,,,,,
Nevada,2012,0,0,"2,754,354","16,763",124,931,,"4,918","10,790","77,510","22,120","45,372","10,018",,,,,,
Nevada,2013,0,0,"2,791,494","16,888",163,"1,090","1,482","5,183","10,060","79,177","23,047","46,132","9,998",,,,,,
Nevada,2014,0,0,"2,839,099","18,045",170,995,"1,357","5,954","10,564","74,538","21,927","42,426","10,185",,,,,,
New Hampshire,2001,0,0,"1,259,359","2,144",17,458,,445,"1,224","27,089","4,889","20,060","2,140",,,,,,
New Hampshire,2002,0,0,"1,274,405","2,056",12,446,,413,"1,185","26,250","4,838","19,468","1,944",,,,,,
New Hampshire,2003,0,0,"1,288,705","1,937",17,438,,480,"1,002","26,456","4,589","19,934","1,933",,,,,,
New Hampshire,2004,0,0,"1,299,169","2,202",17,466,,500,"1,219","26,658","4,979","19,723","1,956",,,,,,
New Hampshire,2005,0,0,"1,306,819","1,761",19,406,,365,971,"24,031","4,192","18,493","1,346",,,,,,
New Hampshire,2006,0,0,"1,314,895","1,785",13,295,,435,"1,042","26,060","4,395","20,179","1,486",,,,,,
New Hampshire,2007,0,0,"1,315,828","1,896",12,357,,451,"1,076","26,394","5,074","19,909","1,411",,,,,,
New Hampshire,2008,0,0,"1,315,809","2,054",14,385,,421,"1,234","28,387","4,266","22,714","1,407",,,,,,
New Hampshire,2009,0,0,"1,324,575","2,125",11,399,,454,"1,261","28,790","4,915","22,748","1,127",,,,,,
New Hampshire,2010,0,0,"1,316,807","2,204",13,411,,450,"1,330","29,230","5,444","22,789",997,,,,,,
New Hampshire,2011,0,0,"1,317,807","2,864",16,581,,509,"1,758","32,756","6,244","25,398","1,114",,,,,,
New Hampshire,2012,0,0,"1,321,617","2,841",15,486,,471,"1,869","32,074","5,988","25,024","1,062",,,,,,
New Hampshire,2013,0,0,"1,322,616","2,952",21,522,778,647,"1,506","29,278","4,979","23,355",944,,,,,,
New Hampshire,2014,0,0,"1,326,813","2,602",12,458,594,537,"1,459","26,041","4,162","21,022",857,,,,,,
New Jersey,2001,0,0,"8,511,116","33,094",336,"1,278",,"14,110","17,370","240,551","46,812","156,031","37,708",,,,,,
New Jersey,2002,0,0,"8,575,252","32,252",339,"1,365",,"13,955","16,593","227,715","43,899","148,061","35,755",,,,,,
New Jersey,2003,0,0,"8,642,412","31,488",406,"1,288",,"13,342","16,452","220,350","43,457","142,287","34,606",,,,,,
New Jersey,2004,0,0,"8,685,166","30,943",392,"1,331",,"13,076","16,144","211,313","41,030","139,977","30,306",,,,,,
New Jersey,2005,0,0,"8,703,150","30,919",417,"1,208",,"13,215","16,079","203,391","38,980","136,728","27,683",,,,,,
New Jersey,2006,0,0,"8,724,560","30,550",427,"1,201",,"13,360","15,562","198,820","39,384","134,687","24,749",,,,,,
