States,GDP 1997,GDP 1998,GDP 1999,GDP 2000,GDP 2001,GDP 2002,GDP 2003,GDP 2004,GDP 2005,GDP 2006,GDP 2007,GDP 2008,GDP 2009,GDP 2010,GDP 2011,GDP 2012,GDP 2013,GDP 2014,GDP 2015,GDP 2016,GDP 2017,GDP 2018,GDP 2019,GDP average,unemployment 1980,unemployment 1981,unemployment 1982,unemployment 1983,unemployment 1984,unemployment 1985,unemployment 1986,unemployment 1987,unemployment 1988,unemployment 1989,unemployment 1990,unemployment 1991,unemployment 1992,unemployment 1993,unemployment 1994,unemployment 1995,unemployment 1996,unemployment 1997,unemployment 1998,unemployment 1999,unemployment 2000,unemployment 2001,unemployment 2002,unemployment 2003,unemployment 2004,unemployment 2005,unemployment 2006,unemployment 2007,unemployment 2008,unemployment 2009,unemployment 2010,unemployment 2011,unemployment 2012,unemployment 2013,unemployment 2014,unemployment 2015,unemployment 2016,unemployment 2017,unemployment 2018,unemployment average,incomeperson 2014,incomeperson 2015,incomeperson 2016,incomeperson 2017,incomeperson 2018,income average,highschool 2010,highschool 2011,highschool 2012,highschool 2013,highschool 2014,highschool 2015,highschool 2016,highschool 2017,highschool 2018,highschool average,bachelor 2010,bachelor 2011,bachelor 2012,bachelor 2013,bachelor 2014,bachelor 2015,bachelor 2016,bachelor 2017,bachelor 2018,bachelor average,graduate 2010,graduate 2011,graduate 2012,graduate 2013,graduate 2014,graduate 2015,graduate 2016,graduate 2017,graduate 2018,graduate average,2014 Population,2010 Population,2014 %Person under 5 years,2014 %Person under 18 years,2014 %Person 65 years and over,2014 % femal person,2014 % white ,2014 %black or African American ,2014 % American Indian and Alaska native,2014 %Asian ,2014 % Native Hawaiian and other pacific islander ,2014 %Two or more race ,2014 %Hispanic or latino,2009-2013 Living in same house 1 year or over,2009-2013 foreign born person,2009-2013 Language other than English spoken at home,2009-2013 High school graduate or higher 25+,2009-2013 Bachelorâ€™s degree or higher 25+,2009-2013 Veterans,2009-2013 mean travel time to work (min),2009-2013 Homeownership rate,2009-2013 Households,2009-2013 Median household income,2009-2013 %Persons below poverty level,2010 land area in square mile,2010 population per square mile ,2001 crime,2002 crime,2003 crime,2004 crime,2005 crime,2006 crime,2007 crime,2008 crime,2009 crime,2010 crime,2011 crime,2012 crime,2013 crime,2014 crime,2015 crime,2016 crime,crime average,2001 murder,2002 murder,2003 murder,2004 murder,2005 murder,2006 murder,2007 murder,2008 murder,2009 murder,2010 murder,2011 murder,2012 murder,2013 murder,2014 murder,2015 murder,2016 murder,murder average,2001 robbery,2002 robbery,2003 robbery,2004 robbery,2005 robbery,2006 robbery,2007 robbery,2008 robbery,2009 robbery,2010 robbery,2011 robbery,2012 robbery,2013 robbery,2014 robbery,2015 robbery,2016 robbery,robbery average,2001 rape,2002 rape,2003 rape,2004 rape,2005 rape,2006 rape,2007 rape,2008 rape,2009 rape,2010 rape,2011 rape,2012 rape,2013 rape,2014 rape,2015 rape,rape average,Percent Educational Attainment,Percent Peace Index,Percent Above Poverty Rate,Percent Non-religious,2013 Uninsured,2014 Uninsured,2015 Uninsured,2016 Uninsured,uninsured average,2019 Insured,2018 Insured,2017 Insured,2016 Insured,2015 Insured,2014 Insured,2013 Insured,2012 Insured,2011 Insured,2010 Insured,2009 Insured,2008 Insured,insured average,1976 winner,1976 votes,1980 winner,1980 votes,1984 winner,1984 votes,1988 winner,1988 votes,1992 winner,1992 votes,1996 winner,1996 votes,2000 winner,2000 votes,2004 winner,2004 votes,2008 winner,2008 votes,2012 winner,2012 votes,2016 winner,2016 votes
Hawaii,55741.2,54352.7,55174.2,56440.5,56133.3,57913.9,60828.5,64925.7,68553.0,70384.3,71179.7,71681.2,69122.5,71075.0,72236.3,73676.7,74294.1,74490.6,77176.6,79093.5,81039.5,82203.9,82471.4,69293.04999999999,5.0,5.4,6.3,6.2,5.7,5.4,4.8,3.8,3.2,2.5,2.7,2.9,4.3,4.5,5.5,5.9,6.3,6.2,6.1,5.4,4.2,4.5,4.2,4.1,3.4,2.9,2.6,2.8,4.3,7.2,6.9,6.8,6.0,4.9,4.4,3.6,3.0,2.4,2.4,4.571052631578948,47257,49489,51170,53433,55214,52326.5,171319,181621,188102,194906,198497,206271,"196,21","197,164","191,194",193879.4,39334,40483,43887,48110,47202,50267,"63,191","63,331","63,55",45989.8,11982,14561,14482,16466,14360,17756,"16,503","14,917","16,345",14934.5,1419561,1360301,6.4,21.7,16.1,49.4,26.7,2.5,0.4,37.5,10.0,23.0,10.1,84.9,17.9,25.4,90.4,30.1,112625,26.0,57.6,449771,67402,11.2,6422.63,211.8,3117.0,3262.0,3400.0,3213.0,3253.0,3608.0,3544.0,3510.0,3550.0,3603.0,3465.0,3378.0,3585.0,3680.0,4201.0,3452.0,3513.6,32.0,24.0,22.0,33.0,24.0,21.0,24.0,26.0,23.0,25.0,20.0,21.0,32.0,26.0,19.0,35.0,25.0,1142.0,1210.0,1168.0,944.0,1001.0,1144.0,1122.0,1085.0,1030.0,1065.0,994.0,1125.0,934.0,1107.0,1203.0,985.0,1074.4666666666667,409.0,372.0,367.0,333.0,343.0,353.0,377.0,363.0,385.0,377.0,353.0,279.0,366.0,314.0,400.0,355.85714285714283,29.6,64.32,88.5,53,6.7,5.3,4.0,3.5,4.266666666666667,95.8,95.9,96.2,96.5,96.0,94.7,93.3,93.1,92.9,92.1,93.0,93.5,94.2909090909091,democrat,147375,democrat,135879,republican,185050,democrat,192364,democrat,179310,democrat,205012,democrat,205286,democrat,231708,democrat,325871,democrat,306658,democrat,266891
Idaho,37119.7,38936.6,42645.0,47495.2,46197.7,47334.4,48624.8,51388.8,55380.9,57598.9,58716.6,59744.9,57073.0,57952.9,57825.3,57780.1,59966.8,61663.2,63235.7,65643.2,68412.2,72455.4,74937.1,56864.031818181815,7.5,7.7,9.9,8.9,7.3,7.9,8.4,7.6,6.0,5.3,5.5,6.2,6.4,6.0,5.4,5.4,5.3,5.1,5.1,4.9,4.7,5.1,5.6,5.6,4.9,4.0,3.5,3.1,5.1,8.8,9.0,8.3,7.2,6.1,4.8,4.2,3.8,3.2,2.8,5.897368421052631,37905,39783,40567,42268,44554,41793.0,187879,185668,191107,188281,192135,195842,"201,118","204,294","210,47",190606.6,36703,38997,37977,41981,38610,40854,"58,072","56,845","63,43",39683.8,10658,12218,13373,11328,11008,13585,"11,647","13,426","13,601",12028.333333333334,1634464,1567652,7.0,26.4,14.3,49.9,93.5,0.8,1.7,1.4,0.2,2.3,12.0,82.8,5.9,10.4,88.8,25.1,122955,20.0,69.8,579797,46767,15.5,82643.12,19.0,3211.0,3419.0,3362.0,3452.0,3670.0,3666.0,3841.0,3680.0,3805.0,3464.0,3202.0,3348.0,3471.0,3468.0,3568.0,3876.0,3552.8,30.0,36.0,26.0,31.0,35.0,35.0,49.0,23.0,24.0,22.0,35.0,30.0,29.0,32.0,32.0,49.0,32.53333333333333,245.0,240.0,245.0,241.0,266.0,294.0,243.0,239.0,254.0,213.0,188.0,243.0,220.0,204.0,192.0,213.0,233.0,425.0,497.0,535.0,594.0,577.0,611.0,607.0,579.0,575.0,533.0,444.0,495.0,516.0,468.0,533.0,540.2857142857143,23.9,55.48,85.2,49,16.2,13.6,11.0,10.1,11.566666666666668,89.2,88.9,89.9,89.9,89.0,86.4,83.8,83.8,83.5,82.3,82.6,82.8,85.7181818181818,republican,204151,republican,290699,republican,297523,republican,253881,republican,202645,republican,256595,republican,336937,republican,409235,republican,403012,republican,420911,republican,409055
Illinois,577495.8,596185.0,618287.8,640878.6,642463.5,646998.4,656380.3,675720.7,688522.6,706084.1,712910.5,701791.9,683432.0,694001.9,706705.2,720881.5,719922.2,735876.3,747666.8,746370.0,752459.2,769631.2,773135.5,697104.7818181817,8.2,8.5,11.4,11.8,9.0,9.1,8.3,7.4,6.7,6.0,6.1,7.3,7.9,7.4,5.8,5.2,5.3,4.8,4.4,4.4,4.3,5.3,6.5,6.8,6.2,5.7,4.5,5.0,6.3,10.2,10.4,9.7,9.0,9.0,7.1,6.0,5.8,4.9,4.3,6.942105263157896,49461,51753,52417,54252,57145,53891.75,1573198,1596278,1609995,1607472,1617154,1621054,"1,626,673","1,630,904","1,646,296",1610390.6,454634,465383,468387,469182,486949,490845,"735,457","727,26","748,523",476149.2,201222,205144,214749,221799,228295,218301,"227,29","226,551","235,681",214918.33333333334,12880580,12831587,6.1,23.2,13.9,50.9,77.5,14.7,0.6,5.3,0.1,1.8,16.7,86.8,13.8,22.3,87.3,31.4,727919,28.0,67.5,4772723,56797,14.1,55518.93,231.1,79270.0,75759.0,70376.0,69365.0,70496.0,69498.0,68528.0,67780.0,64185.0,57132.0,54523.0,53556.0,51956.0,47663.0,49354.0,56054.0,61748.333333333336,982.0,961.0,895.0,780.0,770.0,780.0,752.0,790.0,773.0,704.0,781.0,770.0,722.0,685.0,744.0,1061.0,797.8666666666667,24931.0,25314.0,23786.0,22582.0,23255.0,23782.0,23100.0,24054.0,22923.0,20386.0,20217.0,19480.0,17733.0,15299.0,14910.0,17829.0,20976.666666666668,4010.0,4370.0,4189.0,4220.0,4313.0,4078.0,4103.0,4118.0,3901.0,3066.0,3030.0,3581.0,3895.0,3081.0,3549.0,3821.0,30.6,42.16,85.7,49,12.7,9.7,7.1,6.5,7.766666666666666,92.6,93.0,93.2,93.5,92.9,90.3,87.3,87.2,86.9,86.2,86.7,87.6,89.52727272727275,republican,2364269,republican,2358049,republican,2707103,republican,2310939,democrat,2453350,democrat,2341744,democrat,2589026,democrat,2891550,democrat,3419348,democrat,3019512,democrat,3090729
Indiana,232155.1,246119.4,254015.2,264054.4,258792.5,265089.5,275172.6,284609.6,285607.9,291705.2,299415.9,298560.6,277763.6,295526.0,296674.3,297816.1,303966.8,313830.9,311850.4,316545.6,322969.3,332156.8,337636.1,292267.2136363636,9.6,9.9,12.0,11.2,8.6,7.8,6.9,6.2,5.2,4.9,5.3,6.0,6.6,5.4,4.9,4.6,4.1,3.5,3.1,3.0,3.1,4.2,5.2,5.3,5.4,5.5,5.0,4.6,5.9,10.3,10.4,9.1,8.3,7.7,6.0,4.8,4.4,3.6,3.4,6.089473684210527,41098,42650,43672,45244,47321,44721.75,724636,727051,736500,733119,753528,745968,"763,161","781,009","788,636",739233.2,168763,170759,173391,167682,177089,178574,"262,302","278,844","272,097",173499.0,54206,53691,62537,62990,67049,68848,"72,442","74,572","70,455",61553.5,6596855,6484192,6.4,24.0,14.3,50.7,86.1,9.6,0.4,2.0,0.1,1.9,6.6,84.9,4.7,8.2,87.2,23.2,455105,23.2,70.0,2481793,48248,15.4,35826.11,181.0,22734.0,22001.0,21842.0,20294.0,20302.0,20303.0,21310.0,21525.0,21455.0,20983.0,21619.0,22544.0,23627.0,24099.0,25653.0,26516.0,22271.533333333333,413.0,362.0,338.0,316.0,356.0,361.0,350.0,322.0,312.0,268.0,306.0,307.0,357.0,330.0,373.0,431.0,339.26666666666665,7171.0,6612.0,6401.0,6373.0,6809.0,7175.0,7845.0,7580.0,7347.0,6559.0,6977.0,6601.0,7114.0,6897.0,7111.0,7291.0,6979.466666666666,1716.0,1843.0,1720.0,1803.0,1856.0,1811.0,1738.0,1711.0,1621.0,1760.0,1758.0,1661.0,1623.0,1615.0,1789.0,1736.357142857143,22.5,53.1,84.8,46,14.0,11.9,9.6,8.1,9.866666666666667,91.3,91.7,91.8,91.9,90.4,88.1,86.0,85.7,85.5,85.2,85.7,86.6,88.05454545454546,republican,1183958,republican,1255656,republican,1377230,republican,1297763,republican,989375,republican,1006693,republican,1245836,republican,1479438,democrat,1374039,republican,1420543,republican,1557286
Iowa,113574.6,114400.3,116832.5,122360.4,120923.9,124277.0,129246.4,139960.2,143905.3,146068.4,152466.2,149735.5,146223.6,150099.2,152153.2,157838.6,157902.5,165641.4,170545.9,169488.8,168976.5,172844.7,173515.4,147518.44999999998,6.0,6.6,8.5,8.1,7.0,7.5,6.8,5.5,4.5,4.2,4.4,4.7,4.5,4.0,3.5,3.4,3.5,3.1,2.7,2.6,2.6,3.3,4.0,4.5,4.5,4.3,3.7,3.7,4.2,6.4,6.0,5.5,5.0,4.7,4.2,3.8,3.6,3.1,2.5,4.59736842105263,44801,46298,46547,47662,50175,47670.5,351960,358834,362972,361321,363292,365952,"365,596","365,871","370,97",362474.2,92307,98376,95823,95413,104860,98576,"136,461","137,608","134,909",98609.6,28073,31226,32220,32755,33361,33067,"36,721","37,08","32,446",31783.666666666668,3107126,3046869,6.3,23.4,15.8,50.3,92.1,3.4,0.5,2.2,0.1,1.7,5.6,84.8,4.5,7.2,91.0,25.7,226175,18.8,72.2,1226547,51843,12.4,55857.13,54.5,7865.0,8388.0,8175.0,8499.0,8697.0,8521.0,8970.0,8651.0,8485.0,8191.0,7883.0,8167.0,8443.0,8497.0,8936.0,9170.0,8511.533333333333,50.0,44.0,50.0,44.0,40.0,55.0,39.0,77.0,38.0,38.0,44.0,49.0,41.0,60.0,72.0,73.0,50.93333333333333,1154.0,1169.0,1131.0,1160.0,1153.0,1309.0,1328.0,1249.0,1201.0,1012.0,824.0,962.0,937.0,1045.0,1047.0,1150.0,1111.8,649.0,797.0,796.0,782.0,847.0,871.0,970.0,937.0,890.0,883.0,866.0,901.0,873.0,828.0,851.0,863.7142857142857,25.1,62.7,87.7,45,8.1,6.2,5.0,4.3,5.166666666666667,95.0,95.3,95.3,95.7,95.0,93.8,91.9,91.6,91.1,90.7,91.4,91.3,93.00909090909092,republican,632864,republican,676026,republican,703088,democrat,670557,democrat,586353,democrat,620258,democrat,638517,republican,751957,democrat,828940,democrat,822544,republican,800983
Kansas,104779.0,108386.0,110955.2,113937.6,114152.7,115707.1,117541.4,118320.6,122325.6,128914.9,135574.4,138822.5,133743.4,135182.0,138782.0,140764.1,140355.8,144131.5,147929.8,152511.5,154456.6,158192.7,160059.3,133215.75909090906,4.4,4.3,6.3,5.9,4.9,5.1,5.3,4.8,4.5,4.2,4.3,4.4,4.5,5.0,4.9,4.4,4.3,3.8,3.5,3.3,3.6,4.2,5.1,5.5,5.5,5.0,4.4,4.2,4.6,6.9,7.1,6.5,5.7,5.3,4.5,4.2,4.0,3.7,3.4,4.765789473684211,46881,47343,47390,48883,51261,48719.25,334595,340810,343815,349025,350757,346055,"344,31","351,293","349,114",346092.4,91477,92357,90966,95198,93390,98370,"134,341","137,173","141,959",94056.2,30693,33163,35663,34499,37179,38535,"41,554","41,766","41,798",34955.333333333336,2904021,2853132,6.9,24.9,14.3,50.2,86.8,6.3,1.2,2.8,0.1,2.8,11.4,83.2,6.7,11.0,89.8,30.3,211113,19.0,67.5,1110440,51332,13.7,81758.72,34.9,10909.0,10229.0,10831.0,10330.0,10701.0,11960.0,12730.0,11554.0,11460.0,10602.0,10209.0,10292.0,9928.0,10123.0,11353.0,11665.0,10931.133333333333,92.0,78.0,125.0,122.0,101.0,125.0,106.0,113.0,125.0,97.0,111.0,85.0,117.0,91.0,128.0,132.0,110.4,2423.0,2165.0,2247.0,1812.0,1795.0,1878.0,2022.0,1681.0,1786.0,1538.0,1448.0,1493.0,1339.0,1362.0,1818.0,1757.0,1742.7333333333333,945.0,1035.0,1085.0,1142.0,1098.0,1279.0,1287.0,1226.0,1179.0,1146.0,1122.0,1105.0,1003.0,1075.0,1251.0,1145.2142857142858,29.5,48.54,86.5,45,12.3,10.2,9.1,8.7,9.333333333333332,90.8,91.2,91.3,91.3,90.9,89.8,87.7,87.4,87.4,86.1,86.8,88.6,88.95454545454545,republican,502752,republican,566812,republican,677296,republican,554049,republican,449951,republican,583245,republican,622332,republican,736456,republican,699655,republican,692634,republican,671018
Kentucky,146881.4,151173.1,155866.0,151833.8,151767.5,155672.9,159399.5,163397.6,168840.3,173508.0,171850.3,172242.2,165300.6,172266.7,174202.7,176323.1,179499.1,179888.5,182487.9,183454.9,184600.8,187507.4,190811.5,170540.65454545454,8.0,8.6,10.8,11.4,9.3,9.2,9.4,8.5,7.6,6.4,6.0,7.3,6.9,6.2,5.4,5.4,5.5,5.3,4.6,4.5,4.2,5.2,5.7,6.1,5.4,5.9,5.7,5.4,6.4,10.3,10.2,9.4,8.2,8.0,6.5,5.3,5.1,4.9,4.3,6.855263157894737,37585,39199,39754,40904,42338,40548.75,495763,498745,502200,499981,503196,508192,"508,07","527,981","525,311",502462.8,98699,92956,95955,101574,104452,104436,"154,395","160,364","165,712",99874.6,40578,47302,48258,47653,48143,49806,"50,277","50,658","55,945",46956.666666666664,4413457,4339349,6.3,22.9,14.8,50.8,88.3,8.2,0.3,1.4,0.1,1.8,3.4,84.8,3.3,5.0,83.0,21.5,312365,22.8,68.4,1694996,43036,18.8,39486.34,109.9,10510.0,11101.0,10232.0,10152.0,11134.0,11361.0,12329.0,12690.0,11000.0,10604.0,10465.0,9852.0,9280.0,9340.0,9676.0,10452.0,10644.533333333333,181.0,191.0,181.0,236.0,190.0,173.0,206.0,201.0,184.0,188.0,151.0,201.0,172.0,160.0,209.0,265.0,193.86666666666667,3269.0,3131.0,3224.0,3268.0,3690.0,3850.0,4068.0,4080.0,3642.0,3748.0,3705.0,3547.0,3247.0,3336.0,3307.0,3371.0,3547.6,1051.0,1087.0,1124.0,1238.0,1421.0,1312.0,1365.0,1457.0,1531.0,1438.0,1499.0,1312.0,951.0,883.0,997.0,1258.2142857142858,21.0,53.64,81.0,37,14.3,8.5,6.0,5.1,6.533333333333334,93.6,94.4,94.6,94.9,94.0,91.5,85.7,86.1,85.6,84.7,85.5,86.8,89.43636363636364,democrat,615717,republican,635274,republican,821702,republican,734281,democrat,665104,democrat,636614,republican,872520,republican,1069439,republican,1048462,republican,1087190,republican,1202971
Louisiana,201663.3,208471.9,212728.9,206462.5,208982.4,213120.2,221295.9,231479.8,245727.5,243378.5,234521.9,235468.2,238921.7,247856.5,234299.7,233481.2,226345.4,232746.2,230434.0,225361.8,228819.3,235021.9,239967.2,228858.7545454546,6.9,8.4,10.3,11.5,10.1,11.6,12.8,12.1,10.8,8.0,6.2,7.3,8.0,7.6,7.8,7.0,6.6,6.0,5.7,5.1,5.3,5.7,6.1,6.4,5.9,7.2,4.5,4.3,4.9,6.8,8.0,7.8,7.1,6.7,6.4,6.3,6.1,5.1,4.9,7.326315789473685,42686,42900,42528,43932,46207,43891.75,525414,538196,545138,560255,568400,583410,"575,726","574,164","571,794",559079.8,115925,113221,117889,125056,130943,130464,"176,919","171,313","175,78",123514.6,38047,38005,43746,43165,46393,47003,"49,742","48,418","52,443",42726.5,4649676,4533479,6.6,23.9,13.6,51.1,63.4,32.5,0.8,1.8,0.1,1.5,4.8,85.8,3.9,8.7,82.6,21.8,304271,24.9,67.0,1707852,44874,19.1,43203.9,104.9,30678.0,29690.0,28622.0,28844.0,26889.0,30923.0,31789.0,29613.0,28878.0,25241.0,25373.0,22839.0,24127.0,23934.0,25208.0,26477.0,27229.8,501.0,593.0,584.0,574.0,450.0,555.0,625.0,544.0,529.0,500.0,506.0,489.0,494.0,477.0,481.0,555.0,530.4,7864.0,7123.0,7008.0,6564.0,5337.0,5928.0,6316.0,6241.0,6150.0,5297.0,5235.0,5458.0,5539.0,5695.0,5550.0,5575.0,5934.4,1403.0,1529.0,1601.0,1616.0,1421.0,1587.0,1427.0,1250.0,1351.0,1230.0,1262.0,1155.0,1248.0,992.0,1260.0,1352.0714285714287,21.4,19.02,80.1,29,16.6,14.8,11.9,10.3,12.333333333333334,91.1,92.0,91.6,89.7,88.1,85.2,83.4,83.1,82.5,82.2,82.6,83.0,85.76363636363637,democrat,661365,republican,792853,republican,1037299,republican,883702,democrat,815971,democrat,927837,republican,927871,republican,1102169,republican,1148275,republican,1152262,republican,1178638
Maine,43026.1,44223.8,46390.2,48524.6,49418.4,50636.0,51733.5,53529.4,53606.5,54279.0,54017.1,53925.8,53075.6,53790.1,53088.2,52866.6,52456.3,53445.1,53879.3,55088.1,55964.7,57302.7,58793.3,52728.83181818182,7.6,7.4,8.4,8.3,6.2,5.5,5.3,4.4,3.6,4.0,5.3,7.5,7.3,7.3,7.0,6.0,5.2,5.1,4.5,4.0,3.4,3.8,4.3,5.0,4.6,4.9,4.6,4.7,5.5,8.1,8.1,7.9,7.5,6.6,5.6,4.4,3.8,3.4,3.4,5.576315789473684,41826,43622,44832,46565,48792,45952.75,134785,134598,138419,142036,142409,141424,"148,982","150,514","151,89",139777.2,31992,33333,31660,34461,39747,37661,"53,6","55,355","58,051",35372.4,9128,11813,9716,12330,9162,11886,"15,103","15,176","13,895",10672.5,1330089,1328361,4.9,19.5,18.3,51.0,95.0,1.4,0.7,1.2,0.0,1.6,1.5,86.4,3.4,6.8,91.1,27.9,126842,23.3,71.8,553823,48453,13.6,30842.92,43.1,1435.0,1396.0,1422.0,1364.0,1483.0,1533.0,1565.0,1572.0,1580.0,1621.0,1638.0,1626.0,1761.0,1700.0,1729.0,1649.0,1575.9333333333334,19.0,14.0,16.0,18.0,19.0,23.0,20.0,31.0,26.0,24.0,26.0,26.0,24.0,21.0,23.0,20.0,22.066666666666666,264.0,270.0,289.0,289.0,323.0,383.0,349.0,333.0,399.0,412.0,370.0,420.0,335.0,304.0,311.0,268.0,337.0,326.0,377.0,354.0,315.0,326.0,341.0,392.0,379.0,375.0,389.0,394.0,372.0,366.0,360.0,354.0,363.85714285714283,26.9,73.84,86.0,66,11.2,10.1,8.4,8.0,8.833333333333334,92.0,92.0,91.9,92.0,91.6,89.9,88.8,89.8,89.3,89.9,89.5,89.6,90.39090909090908,republican,236320,republican,238522,republican,336500,republican,307131,democrat,263420,democrat,312788,democrat,319951,democrat,396842,democrat,421923,democrat,401306,democrat,357735
Maryland,221160.3,231791.8,240870.4,250851.4,260906.1,270898.8,277982.6,291995.5,306126.0,311609.6,311951.5,315724.0,314737.4,327088.7,333963.8,334555.5,334431.0,339991.3,349146.8,359987.5,365857.0,368810.4,374039.3,312423.4727272727,6.6,7.3,8.3,7.0,5.4,4.6,4.6,4.4,4.3,3.8,4.5,6.1,6.8,6.2,5.3,5.0,5.0,5.0,4.4,3.6,3.6,4.0,4.4,4.4,4.3,4.1,3.9,3.5,4.2,7.0,7.7,7.2,7.0,6.6,5.8,5.1,4.5,4.3,3.9,5.186842105263157,54696,57036,59011,60758,62708,59878.25,676041,702002,723401,735698,743805,755441,"762,848","763,965","766,007",732069.4,184186,195567,202108,201908,212549,212101,"345,164","348,426","356,798",204846.6,105385,107371,117922,123078,131723,125162,"126,101","125,734","130,237",118440.16666666667,5976407,5773785,6.2,22.6,13.8,51.5,60.1,30.3,0.6,6.4,0.1,2.6,9.3,86.7,14.0,16.7,88.7,36.8,427068,32.0,67.6,2146240,73538,9.8,9707.24,594.8,42088.0,42015.0,38778.0,38961.0,39369.0,38111.0,36063.0,35393.0,33625.0,31607.0,28817.0,28086.0,28235.0,26661.0,27462.0,29019.0,33480.13333333333,446.0,513.0,525.0,521.0,552.0,546.0,554.0,493.0,440.0,426.0,399.0,373.0,384.0,365.0,516.0,536.0,476.2,13525.0,13417.0,13302.0,12772.0,14378.0,14376.0,13258.0,13203.0,12007.0,11054.0,10342.0,10173.0,10048.0,9544.0,9863.0,10815.0,11903.466666666667,1449.0,1370.0,1358.0,1317.0,1266.0,1178.0,1179.0,1127.0,1156.0,1228.0,1200.0,1237.0,1179.0,1144.0,1184.0,1223.0714285714287,37.3,37.1,89.6,46,10.2,7.9,6.6,6.1,6.866666666666667,94.0,94.0,93.9,93.9,93.4,92.1,89.8,89.7,89.6,88.7,88.9,89.2,91.20000000000002,democrat,759612,democrat,726161,republican,879918,republican,876167,democrat,988571,democrat,966207,democrat,1144008,democrat,1334493,democrat,1629467,democrat,1677844,democrat,1677928
Massachusetts,302541.7,315056.7,332253.9,359286.0,363865.6,364926.0,374692.5,383895.8,391462.3,398277.7,408524.9,412191.8,408071.6,425028.7,435158.0,444478.2,446190.4,453778.2,471979.2,479184.9,490874.1,507806.0,519961.6,417588.36818181816,5.6,6.5,7.7,6.8,4.8,4.0,3.9,3.2,3.3,4.2,6.3,8.6,8.5,7.0,6.0,5.3,4.4,3.9,3.3,3.2,2.7,3.7,5.3,5.7,5.1,4.8,4.9,4.6,5.5,8.1,8.3,7.3,6.7,6.7,5.7,4.8,3.9,3.8,3.3,5.310526315789475,59963,63618,65725,68442,71801,67396.5,776948,795069,822376,848581,859952,881127,"883,574","910,639","932,245",841421.0,257428,263747,275899,277747,293302,297511,"488,184","505,522","529,42",281641.2,147868,151103,153562,167488,172398,181686,"182,28","190,348","193,548",162350.83333333334,6745408,6547817,5.4,20.6,15.1,51.5,82.6,8.3,0.5,6.3,0.1,2.2,10.8,86.7,15.0,21.9,89.4,39.4,383087,28.0,62.7,2530147,66866,11.4,7800.06,839.4,30585.0,31137.0,30377.0,29489.0,29644.0,32217.0,28487.0,30137.0,30503.0,30737.0,28232.0,27047.0,27264.0,26399.0,26562.0,25975.0,28947.133333333335,143.0,173.0,140.0,171.0,178.0,188.0,187.0,166.0,173.0,214.0,184.0,121.0,138.0,132.0,128.0,135.0,161.86666666666667,6476.0,7169.0,8011.0,7484.0,7837.0,8080.0,7021.0,7077.0,7467.0,6897.0,6768.0,6555.0,6705.0,6036.0,5288.0,5365.0,6917.333333333333,1856.0,1777.0,1848.0,1794.0,1751.0,1771.0,1643.0,1751.0,1734.0,1784.0,1654.0,1650.0,1722.0,1629.0,1608.0,1722.5714285714287,38.2,59.92,88.3,67,3.7,3.3,2.8,2.5,2.8666666666666667,97.0,97.2,97.2,97.5,97.2,96.7,96.3,96.1,95.7,95.6,95.8,96.1,96.49090909090908,democrat,1429475,republican,1057631,republican,1310936,democrat,1401415,democrat,1318639,democrat,1571509,democrat,1616487,democrat,1803800,democrat,1904097,democrat,1921290,democrat,1995196
Michigan,397122.0,406342.6,429690.5,438344.6,423746.0,435280.8,442746.4,444437.7,450635.9,443561.4,441120.4,416626.5,380048.2,400941.8,411427.2,418742.3,425327.3,430935.6,442287.6,451025.9,457341.5,467828.0,471648.1,433185.74090909085,12.3,12.4,15.4,14.4,11.2,10.0,8.8,8.3,7.5,7.1,7.6,9.2,9.0,7.2,6.0,5.3,4.9,4.3,3.9,3.7,3.6,5.2,6.3,7.2,7.0,6.8,7.0,7.0,8.0,13.7,12.6,10.4,9.1,8.8,7.2,5.4,5.0,4.6,4.1,7.76842105263158,41150,43477,44637,45948,47777,45459.75,1045160,1054442,1052919,1070051,1092521,1114078,"1,141,809","1,167,148","1,194,201",1076802.2,233923,238645,243463,253480,256641,274364,"396,866","424,146","434,664",253318.6,95358,94577,99055,109522,119977,111487,"115,862","131,714","124,811",104996.0,9909877,9884133,5.8,22.4,15.4,50.9,79.9,14.2,0.7,2.9,0.0,2.3,4.8,85.3,6.1,9.1,88.9,25.9,672213,24.0,72.1,3823280,48411,16.8,56538.9,174.8,55424.0,54306.0,51550.0,49737.0,55936.0,56981.0,53765.0,51512.0,49825.0,48693.0,43731.0,44962.0,44757.0,42348.0,41231.0,45782.0,49007.73333333333,672.0,678.0,612.0,643.0,629.0,721.0,661.0,554.0,623.0,580.0,617.0,701.0,625.0,535.0,571.0,612.0,624.1333333333333,12937.0,11847.0,11254.0,11336.0,13348.0,14229.0,13365.0,13246.0,12427.0,11522.0,10263.0,10423.0,10093.0,8021.0,7796.0,7123.0,11086.2,5264.0,5364.0,5470.0,5482.0,5199.0,5347.0,4592.0,4507.0,4524.0,4733.0,4344.0,4635.0,4506.0,4049.0,4163.0,4779.642857142857,24.6,46.12,83.8,47,11.0,8.5,6.1,5.4,6.666666666666667,94.2,94.6,94.8,94.6,93.9,91.5,89.0,88.6,88.2,87.6,87.8,89.0,90.87272727272727,republican,1893742,republican,1915225,republican,2251571,republican,1965486,democrat,1871182,democrat,1989653,democrat,2170418,democrat,2479183,democrat,2872579,democrat,2564569,republican,2279543
Minnesota,212510.9,223846.7,231480.8,247296.8,247001.6,252674.8,263658.3,274834.1,282487.5,282580.8,283857.8,286093.3,276033.2,285746.3,292275.1,296272.5,303222.5,312084.0,316863.3,321980.0,327667.5,337215.9,341041.4,285737.0090909091,5.8,5.8,7.9,8.0,6.3,6.0,5.5,5.1,4.3,4.3,4.8,5.1,5.1,5.0,4.1,3.7,4.0,3.3,2.7,2.8,3.2,3.8,4.5,4.9,4.7,4.1,4.0,4.6,5.4,7.8,7.4,6.5,5.6,5.0,4.2,3.7,3.9,3.4,2.9,4.826315789473684,50258,52355,53083,54960,57371,54442.25,666992,672464,686855,687330,706349,696370,"697,952","711,944","716,635",689873.6,202719,210266,214706,211083,214468,223789,"298,857","319,899","327,902",214862.4,66387,65910,69077,71063,83170,79809,"76,503","85,776","88,436",72569.33333333333,5457173,5303925,6.4,23.5,14.3,50.3,85.7,5.9,1.3,4.7,0.1,2.3,5.1,85.6,7.3,10.7,92.1,32.6,366990,22.9,72.5,2107232,59836,11.5,79626.74,66.6,13145.0,13428.0,13316.0,13751.0,15243.0,16042.0,15054.0,13853.0,12874.0,12515.0,12323.0,12419.0,12710.0,12505.0,13319.0,13365.0,13514.466666666667,119.0,112.0,127.0,113.0,115.0,126.0,116.0,110.0,74.0,96.0,75.0,99.0,114.0,88.0,133.0,101.0,106.6,3758.0,3937.0,3906.0,4070.0,4724.0,5441.0,4770.0,4179.0,3619.0,3388.0,3385.0,3475.0,3674.0,3687.0,3771.0,3730.0,3983.733333333333,2236.0,2273.0,2092.0,2123.0,2258.0,1645.0,1873.0,1805.0,1789.0,1798.0,2113.0,1638.0,1453.0,1452.0,1686.0,1857.0,31.5,67.72,88.6,51,8.2,5.9,4.5,4.1,4.833333333333333,95.1,95.6,95.6,95.9,95.5,94.1,91.8,92.0,91.2,90.9,90.9,91.6,93.19090909090909,democrat,1070440,democrat,954173,democrat,1036364,democrat,1109471,democrat,1020997,democrat,1120380,democratic-farmer-labor,1168266,democratic-farmer-labor,1445014,democrat,1573354,democratic-farmer-labor,1546167,democrat,1367705
